,company,description,location,salary,title,hourly_salary,monthly_salary,annual_salary
14,    Indeed,How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....,"Austin, TX",,Data Scientist,,,
15,    Sense Corp,Data analyst/data scientist role:. Perform data analysis and work with large volumes of data. Compile data from several different sources and determine...,"Austin, TX",,Data Scientist,,,
16,"    RetailMeNot, Inc.","Collaborate effectively with engineers, data scientists, product managers and other internal customers ....","Austin, TX",,Sr. Data Scientist,,,
17,    NVIDIA,"
Compiler Machine Learning Verification Engineer Do you visualize your future at NVIDIA? WE DO! We are now looking for a Compiler Machine Learning","Austin, TX",,Compiler Machine Learning Verification Engineer,,,
18,    BazaarVoice,"
You’ll extract key data and findings, define metrics, evaluate A/B tests, identify opportunities based on the data, and share new insights no one considered...","Austin, TX 78746",,Sr. UX Researcher,,,
19,"    Signature Science, LLC","
Quality Assurance Scientist - Summer Intern. The QA scientist will provide assistance in developing technical auditing and evaluation plans, supporting the...","Austin, TX 78759 (Arboretum area)",,Internship - Quality Assurance Scientist,,,
20,    IBM,"
Data analytics and modeling, data visualization, business acumen and strategy. The Data Scientist and Managing Strategy Consultant role is in our Worldwide...","Austin, TX",,Worldwide CoC Team –Data Scientist and Managing Strategy Consultant,,,
21,    NVIDIA,"
Experience in optimization, common CAD data structures and solvers, and/or data visualization is a plus. Help build an infrastructure for easily interfacing...","Austin, TX",,Machine Learning for VLSI CAD Engineer,,,
22,    Alcatel-Lucent,"
World-wide, our software helps service providers deliver a new generation of data services into a single, connected experience for their customers....","Austin, TX",,PMO CNO CXS Co-op,,,
23,    SmarterHQ,"
Experience working with data scientists a plus. Experience with data modeling techniques, as well as star schema;...","Austin, TX",,Junior Back-End Developer,,,
24,    Asuragen,"
Scientist I, Development*. Scientist I, Research and Technology Development*. Train assistant scientists and provide daily supervision as required....","Austin, TX",,Research Scientist,,,
25,"    RetailMeNot, Inc.","
Collaborate effectively with engineers, data scientists, product managers and other internal customers ....","Austin, TX",,Sr. Data Scientist,,,
26,    University of Texas at Austin,"
Investigate new applications of GPS/GNSS receiver data. Perform processing and detailed analysis of data collected by GPS/GNSS receivers....","Austin, TX",8541.5,Engineering Scientist - GNSS Analyst,,8541.5,
27,    Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Austin, TX",,Data Scientist – Predictive Analytics,,,
28,    Indeed,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,"Austin, TX",,Data Engineer,,,
29,    Indeed,How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....,"Austin, TX",,Data Scientist,,,
30,    Sense Corp,Data analyst/data scientist role:. Perform data analysis and work with large volumes of data. Compile data from several different sources and determine...,"Austin, TX",,Data Scientist,,,
31,"    RetailMeNot, Inc.","Collaborate effectively with engineers, data scientists, product managers and other internal customers ....","Austin, TX",,Sr. Data Scientist,,,
32,    UT Health Science Center at Houston,"
Four (4) years of experience analyzing outcomes resulting from survey data, internal data, and external data....","Austin, TX",,Sr. Statistician - Austin,,,
33,    Texas Department of Public Safety,"
Develop plans, policies, and procedures for analyzing and interpreting statistical data. Work involves coordinating the planning, analysis, and presentation of...","Austin, TX",4714.0,"Statistician III-IV, HSOC, THP-Austin",,4714.0,
34,    Precision For Value,"
Experience in systematic reviews, designing, synthesizing data, interpreting results. Lead and manage multiple global HEOR projects from inception to delivery...","Austin, TX",,"Research Scientist, HEOR, Health Analytics",,,
35,    Lifetime Fitness,"
Experience tracking statistical data for basketball games. Life Time is currently seeking a qualified Ultimate Hoops Statistician....","Austin, TX",,Ultimate Hoops Statistician,,,
36,    Environmental Defense Fund,"
As a Senior Data Analyst, you will play an instrumental role in working with an interdisciplinary team of scientists to conduct complex data analysis and...","Austin, TX",,Senior Data Analyst,,,
37,    City of Austin,"
Ability to gather and analyze data. Determines appropriate methodology, plans, designs, and test research instrumentation and evaluate data to assess...","Austin, TX",27.96,Corporate Research Analyst,27.96,,
38,    MaxPoint,"
Senior Data Scientist - Econometrics. Mentor other data scientists in algorithms, models, tools, and products that make the team more efficient....","Austin, TX 78759 (Arboretum area)",,Senior Data Scientist - Econometrics,,,
39,    C2 GPS- Capital Area Workforce,"
A Manager of Data Analysis and. The review and processing of data integrity (DINT) requests; Ad hoc reports using Infomaker or WIT SQL and/or other external...","Austin, TX",,"Manager of Data Analysis, Reporting and Quality Assurance",,,
40,    24 Seven Inc,"
A fun company in downtown Austin is looking for a JR QA associate for a 5 month temp assignment. The pay rate is $17.99/HR Description:  * Work with","Austin, TX",17.99,Junior Research/QA Analyst (Internet Product),17.99,,
41,    BlackLocus,"
Our people solve interesting, challenging problems while working closely with data scientists and business analysts....","Austin, TX 78701 (Downtown area)",,Software Engineer,,,
42,    Indeed,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,"Austin, TX",,Data Engineer,,,
43,    Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Austin, TX",,Data Scientist – Predictive Analytics,,,
44,    Indeed,How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....,"Austin, TX",,Data Scientist,,,
45,    Sense Corp,Data analyst/data scientist role:. Perform data analysis and work with large volumes of data. Compile data from several different sources and determine...,"Austin, TX",,Data Scientist,,,
46,"    RetailMeNot, Inc.","Collaborate effectively with engineers, data scientists, product managers and other internal customers ....","Austin, TX",,Sr. Data Scientist,,,
47,    Revionics,"
Hands-on data analysis experience and the ability to produce data visualizations to present complex data graphically (distributions, scatter plots, sensitivity...","Austin, TX",,Sr. Optimization Scientist,,,
48,    EMD,"
Assist with data and batch record review. The person in this role may provide guidance and leadership to other scientists within their group....","Round Rock, TX",,Senior Scientist,,,
49,    Merck KGaA,"
Assist with data and batch record review. The person in this role may provide guidance and leadership to other scientists within their group....","Round Rock, TX",,Senior Scientist,,,
50,    The HT Group,"
Data Scientist (SQL / Hadoop). What we are looking for in this Data Scientist:. Hiring Manager indicated they were looking for ""A Data Scientist who knows...","Austin, TX 78729",,Data Scientist (SQL/Hadoop),,,
51,    MaxPoint,"
Senior Data Scientist – Signal Processing. Review code and model designs of other Data Scientists. Design large scale data pipelines that transforms raw signal...","Austin, TX 78759 (Arboretum area)",,Senior Data Scientist - Signal Processing,,,
52,    HomeAway,"
Collaborate with other teams including Software Developers, Data Scientist, and Data Warehouse Developers. Work with large, multi-terabyte, data sets data using...","Austin, TX 78704 (South Lamar-South Congress area)",,Sr. Hadoop Developer,,,
53,    Square Root,"
We depend on our senior developers to be highly collaborative within the engineering group as well as with product managers and data scientists, so that Square...","Austin, TX",,Senior Developer (Remote),,,
54,    MaxPoint,"
Senior Data Scientist – Geospatial Analytics. Design large scale data pipelines that transforms raw location data into usable customer insights....","Austin, TX 78759 (Arboretum area)",,Senior Data Scientist - Geospatial Analytics,,,
55,    University of Texas at Austin,"
Collect, compile, and analyze data. To support funded research projects by providing lab management and conduct research in cell and molecular biology research...","Austin, TX",3519.0,Research Engineering/ Scientist Associate III - Lab Manager,,3519.0,
56,    KPMG,"
Eight years of professional experience working as a Data Scientist. Machine learning, data visualization, statistical modeling, data mining, or information...","Austin, TX 78701 (Downtown area)",,"Manager - Data Scientist, Big Data",,,
57,    Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Austin, TX",,Data Scientist – Predictive Analytics,,,
58,    Indeed,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,"Austin, TX",,Data Engineer,,,
59,    Indeed,How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....,"Austin, TX",,Data Scientist,,,
60,    Indeed,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,"Austin, TX",,Data Engineer,,,
61,    Sense Corp,Data analyst/data scientist role:. Perform data analysis and work with large volumes of data. Compile data from several different sources and determine...,"Austin, TX",,Data Scientist,,,
62,"    RetailMeNot, Inc.","Collaborate effectively with engineers, data scientists, product managers and other internal customers ....","Austin, TX",,Sr. Data Scientist,,,
63,    All-In Analytics,"
Senior Deep Learning Data Scientist. Forecasting, Statistical Modeling, building new data driven products....","Austin, TX",150000.0,Senior Deep Learning Data Scientist,,,150000.0
64,    Spiceworks,"
Analyze Spiceworks’ databases, which will include data extrapolation to weight/map data to known populations like census data, D&B records, etc....","Austin, TX",,"Director, Marketing Sciences & Advanced Analytics",,,
65,    Indeed,"
Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....","Austin, TX 78731",,Data Engineer,,,
66,    NVIDIA,"
Research Scientist for Computer Vision / Machine Learning. And depth in data parallel architectures and computer vision or machine learning....","Austin, TX",,Research Scientist for Computer Vision / Machine Learning,,,
67,"    RetailMeNot, Inc.","
RetailMeNot is looking for a highly analytical, passionate, collaborative, articulate data scientist to work in the domain of Attribution....","Austin, TX",,"Principal Data Scientist, Attribution",,,
68,    Main Street Hub,"
As a Data Scientist at Main Street Hub, you will…. Resourceful in distilling questions, wrangling data, and driving decisions....","Austin, TX 78701 (Downtown area)",,Data Scientist,,,
69,    IBM,"
The Senior Data Scientist will:. Data mining tools:. Find and interpret rich data sources, manage large amounts of data and create visualizations to aid in...","Austin, TX",,GBS Watson Health - Senior Data Scientist,,,
70,    NVIDIA,"
Senior Machine Learning and Compiler Engineer Senior Machine Learning and Compiler Engineer, Austin,Texas We are looking for a senior machine learning","Austin, TX",,Senior Machine Learning and Compiler Engineer,,,
71,"    RetailMeNot, Inc.","
Collaborate effectively with engineers, data scientists, product managers and other internal customers. A pragmatic approach to problem solving, establishing...","Austin, TX",,Data Scientist,,,
72,    University of Texas at Austin,"
Interacts with center scientists and external clients. Creates, maintains and visualizes data from many different sources into cohesive optimized data...","Austin, TX",6388.0,Research Engineering/ Scientist Associate IV - Spatial Data Scientist,,6388.0,
73,    Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Austin, TX",,Data Scientist – Predictive Analytics,,,
74,    Indeed,How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....,"Austin, TX",,Data Scientist,,,
75,    Thermo Fisher Scientific,Generate data and support materials for product marketing initiatives. The Application Scientist is responsible for designing and executing validation programs...,"Austin, TX",,Application Scientist,,,
76,"    RetailMeNot, Inc.","RetailMeNot is looking for a highly analytical, passionate, collaborative, articulate data scientist to work in the domain of Attribution....","Austin, TX",,"Director of Data Science, Digital Attribution",,,
77,    University of Texas at Austin,"
Lead a small development team in the design, implementation, and maintenance of software applications used for geodetic data analysis....","Austin, TX",8541.5,Engineering Scientist - Geospatial Application Software Developer,,8541.5,
78,    Natera,"
Data collection and maintenance. Associate degree and/or 2 years minimum data entry/customer service experience....","Austin, TX 78731",,Clinical Data Reporter,,,
79,    Precision For Value,"
Weighted data, clinical trial data. Administrative hospital data. Electronic health record data. Administrative health insurance claims data....","Austin, TX",,"Research Scientist, Epidemiology and Statistics, Health Analytics",,,
80,    Cognitive Scale,"
Prototype data models. Modeling of time-series data. Statistical Machine Learning and Data Mining (clustering, classification, ranking, regression, online...","Austin, TX",,Research Engineer - Machine Learning,,,
81,"    RetailMeNot, Inc.","
The Senior Product Manager, Data will be accountable for developing software and data driven products while collaborating with our other product initiatives....","Austin, TX",,"Sr. Product Manager, Data",,,
82,    Dimensional Fund Advisors,"
Dimensional is a privately owned global investment manager serving select financial advisors and institutional clients. Since 1981, our entrepreneurial,","Austin, TX",,"Analyst, Research",,,
83,    Last Word Consulting,"
Big Data Architect*. Collaborate with product/project managers, data scientists, business users and other engineers to define requirements to design, build and...","Austin, TX",65.0,Big Data Architect_W2/1099,65.0,,
84,    Gold Executive Services,"
Complete ownership of all data analysis (until the data team is able to grow). Experience building customer-facing data products....","Austin, TX",,Data Scientist - Startup,,,
85,    KPMG,"
Five years of professional experience working as a Data Scientist. Machine learning, data visualization, statistical modeling, data mining, or information...","Austin, TX 78701 (Downtown area)",,"Sr Associate Data Scientist, Big Data",,,
86,    University of Texas at Austin,"
Provide technical and research focused leadership and participate in a small, dynamic team of customer focused scientists....","Austin, TX",8124.5,Research Associate - R and D Data Scientist,,8124.5,
87,    Indeed,How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....,"Austin, TX",,Data Scientist,,,
88,    Amazon,Are you interested in building data pipelines that process petabytes of customer behavior data? Strong grasp of data structures and algorithms....,"Austin, TX",,"Software Development Engineer, Big Data",,,
89,"    RetailMeNot, Inc.","Collaborate effectively with engineers, data scientists, product managers and other internal customers ....","Austin, TX",,Sr. Data Scientist,,,
90,    Sense Corp,Data analyst/data scientist role:. Perform data analysis and work with large volumes of data. Compile data from several different sources and determine...,"Austin, TX",,Data Scientist,,,
91,"    RetailMeNot, Inc.","Collaborate effectively with engineers, data scientists, product managers and other internal customers ....","Austin, TX",,Sr. Data Scientist,,,
92,    University of Texas at Austin,"
Demonstrated ability to support post-mission data analysis of high-frequency SONAR systems pertaining to current EOD MCM sensor packages....","Austin, TX",3935.0,Research Engineering/ Scientist Associate II,,3935.0,
93,    Apple,"
Strong data & root cause analysis. Proven experience analyzing, interpreting and summarizing complex data as it relates to call center technologies....","Austin, TX",,Workforce Management & Quantitative Planning Analyst,,,
94,    University of Texas at Austin,"
Knowledge of digital signal processing, image processing, machine learning, autonomous control or statistical data analysis....","Austin, TX",8541.5,Engineering Scientist - R and D Algorithm and System Developer,,8541.5,
95,    CCC Information Services Inc.,"
Work with data scientists and other technical staff to operationalize analysis and machine learning algorithms....","Austin, TX",,Python Developer,,,
96,    Cambia Information Group,"
Enjoying spending the workday in coding, numbers and data. PowerPoint, in particular, moving data seamlessly into PowerPoint....","Austin, TX 78757 (Crestview area)",,Market Research Analyst,,,
97,    Bioo Scientific Corp.,"
Broad experience analyzing large data sets, preferably NGS data. Exploring new data analysis tools and management of large data storage....","Austin, TX 78744",,Bioinformatics Analyst – 020,,,
98,    MaxPoint,"
Senior Data Scientist. Mentor other data scientists in algorithms, models, tools, and products that make the team more efficient....","Austin, TX 78759 (Arboretum area)",,Senior Data Scientist,,,
99,    Accenture,"
Join Accenture and help transform leading organizations and communities around the world. The sheer scale of our capabilities and client engagements and the","Austin, TX 78746",,Claims Research Analyst,,,
100,    Andrew Harper LLC,"
Must be able to analyze data to build a story that supports commercial concerns of the company. Andrew Harper, LLC is currently searching for a Research Analyst...","Austin, TX 78701 (Downtown area)",,Research Analyst,,,
101,    Amazon Corporate LLC,"
Demonstrated experience incubating and commercializing new ideas, working closely with research scientists and technical teams from concept generation through...","Austin, TX 78728",,Data Scientist - Order Assignment Optimization,,,
102,    Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Austin, TX",,Data Scientist – Predictive Analytics,,,
103,    Indeed,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,"Austin, TX",,Data Engineer,,,
104,    Indeed,How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....,"Austin, TX",,Data Scientist,,,
105,    Indeed,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,"Austin, TX",,Data Engineer,,,
106,"    RetailMeNot, Inc.","Collaborate effectively with engineers, data scientists, product managers and other internal customers ....","Austin, TX",,Sr. Data Scientist,,,
107,    Windhaven Insurance,"
Work with other data scientists with a broad range of analytical expertise and subject matter experts to deliver data products and provide business insights...","Austin, TX",,Lead Data Scientist,,,
108,    IBM,"
Data analytics and modeling, data visualization, business acumen and strategy. The Data Scientist and Senior Strategy Consultant role is in our Worldwide...","Austin, TX",,Worldwide CoC Team – Data Scientist and Senior Strategy Consultant,,,
109,    HireStarter,"
Extracting data from various applications and systems, in particular, large relational databases. Advanced degree in Computer Science, Data Science, Mathematics...","Austin, TX 78751 (Hyde Park area)",,Data Scientist (customer focused),,,
110,    CDK Global,"
From data scientists to sales and operations experts, we’re hiring to support your growth and ours - Green light your career ....","Austin, TX",,VP of Sales - Data Services,,,
111,    University of Texas at Austin,"
Experience with quantitative research methods and data analysis. Techniques could include, but are not limited to, conducting stakeholder interviews, performing...","Austin, TX",6666.0,Research Engineering/ Scientist Associate V - Design Researcher,,6666.0,
112,    Galvanize,"
Lead Instructor, Principal Data Scientist. Join us in building the world's hub for education in data science and data engineering....","Austin, TX",,"Lead Instructor, Principal Data Scientist",,,
113,    University of Texas at Austin,"
Detailed data analyses of GPS observation and navigation data collected from a global GPS tracking network to support objectives related to assessing GPS...","Austin, TX",8541.5,Engineering Scientist - GPS Data Analyst,,8541.5,
114,    Center for Public Policy Priorities,"
Embrace your inner data nerd.*. Develops and maintains extensive knowledge of national, state, and local data sources and collects and manages data from state...","Austin, TX 78752 (St Johns area)",,Research Analyst,,,
115,    NVIDIA,"
Experience working with academic research community supporting computer vision, data analytics, or Deep Learning....","Austin, TX",,Solution Architect (Western Region),,,
116,    IBM,"
Data analytics and modeling, data visualization, business acumen and strategy. The Data Scientist and Strategy Consultant role is in our Worldwide Advanced...","Austin, TX",,Worldwide CoC Team – Data Scientist and Strategy Consultant,,,
117,    Sense Corp,Data analyst/data scientist role:. Perform data analysis and work with large volumes of data. Compile data from several different sources and determine...,"Austin, TX",,Data Scientist,,,
118,    Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Austin, TX",,Data Scientist – Predictive Analytics,,,
119,    Indeed,How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....,"Austin, TX",,Data Scientist,,,
120,    Indeed,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,"Austin, TX",,Data Engineer,,,
121,    Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Austin, TX",,Data Scientist – Predictive Analytics,,,
122,    Sense Corp,Data analyst/data scientist role:. Perform data analysis and work with large volumes of data. Compile data from several different sources and determine...,"Austin, TX",,Data Scientist,,,
123,    GE Aviation,"
Data Engineering/Data & Analytics Scientists work with commercial and internal customers to implement new data readout configurations for airborne data...","Austin, TX 78701 (Downtown area)",,Data & Analytics Scientist,,,
124,    Roc Search,"
A Mid-level Data Scientist is needed to help improve the current process and algorithms in the healthcare pharma revenue stream....","Austin, TX",85000.0,Data Scientist - North Austin/80k/Analytics,,,85000.0
125,    Spredfast,"
You’ll have a great understanding of social data – including behind-the-scenes data dimensions that can lead to greater insights....","Austin, TX 78701 (Downtown area)",,Research and Insights Senior Analyst,,,
126,    Amazon Corporate LLC,"
Are you interested in building data pipelines that process petabytes of customer behavior data? Strong grasp of data structures and algorithms....","Austin, TX 78728",,"Software Development Engineer, Big Data",,,
127,    Galvanize,"
Associate Instructor, Data Scientist. Join us in building the world's hub for education in data science and data engineering....","Austin, TX",,"Associate Instructor, Data Scientist",,,
128,    Galvanize,"
Instructor, Sr Data Scientist. Join us in building the world's hub for education in data science and data engineering....","Austin, TX",,"Instructor, Sr.Data Scientist",,,
129,    Indeed,"
How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....","Austin, TX 78759 (Arboretum area)",,Data Scientist,,,
130,    HomeAway,"
Experience in processing and analyzing Big data - i.e large scale data volumes, semi-structured and unstructured data and....","Austin, TX 78704 (South Lamar-South Congress area)",,Staff Data Scientist,,,
131,    TechTank Staffing & Consulting Solutions,"
What are we looking for in this Data Scientist Programmer/Specialist:. Data Scientists - Not necessarily picking apart data models but being able to find a good...","Austin, TX 78729",140000.0,Data Scientist Programmer/Specialist,,,140000.0
132,    University of Texas at Austin,"
Development of tools for quantitative stratigraphic analysis and data analysis/database management. We seek a clastic stratigrapher with strengths in...","Austin, TX",8333.0,Research Scientist,,8333.0,
133,"    RetailMeNot, Inc.","Collaborate effectively with engineers, data scientists, product managers and other internal customers ....","Austin, TX",,Sr. Data Scientist,,,
134,    Indeed,How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....,"Austin, TX",,Data Scientist,,,
135,    Indeed,How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....,"Austin, TX",,Data Scientist,,,
136,    Indeed,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,"Austin, TX",,Data Engineer,,,
137,"    RetailMeNot, Inc.","Collaborate effectively with engineers, data scientists, product managers and other internal customers ....","Austin, TX",,Sr. Data Scientist,,,
138,    IBM,"
Creating and maintaining machine learning models with a focus on big data. Watson mirrors the same cognitive processes as humans with the ability to ingest...","Austin, TX",,Blue Spark - Watson Cognitive Software Engineer,,,
139,    IBM,"
Automatically find and interpret data rich sources, merge data together, ensure data consistency, and provide insights as a service....","Austin, TX",,Data Engineer / Data Scientist,,,
140,"    Samsung Austin Semiconductor, LLC","
Data Engineer position in the Data Science group which supports analysis activity in fully automated semiconductor manufacturing facility....","Austin, TX 78754",,Data Scientist,,,
141,    Samsung,"
Data Engineer position in the Data Science group which supports analysis activity in fully automated semiconductor manufacturing facility....","Austin, TX 78754",,Data Scientist,,,
142,    Amazon Corporate LLC,"
Strong grasp of data structures and algorithms. This person will work closely with software engineers, data engineers, and other Amazon research scientists to...","Austin, TX 78728",,Machine Learning Scientist,,,
143,    Dell,"
Data Scientist - Round Rock, TX. Strong familiarity and experience with data preparation and processing such as assessment of data quality, new variable...","Round Rock, TX 78664",,Data Scientist Round Rock TX,,,
144,    HomeAway,"
If so, then HomeAway has a Data Scientist role for you…. Really love data? Do you love data? These connections generate rich, diverse, and varied data:....","Austin, TX 78704 (South Lamar-South Congress area)",,Research Data Scientist,,,
145,    Intersys:Big Data And Application Development,"
Jr Data Scientist*. Jr Data Scientist Job Description*. The junior data scientist will contribute to the production of the eCommerce platform which combines a...","Austin, TX",,Jr Data Scientist,,,
146,    21CT,"
Deep learning, data mining, data fusion, machine learning, statistical analysis, natural language processing....","Austin, TX",,Research Scientist,,,
147,    Gallup,"
Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Austin, TX",,Data Scientist – Predictive Analytics,,,
148,    Sense Corp,Data analyst/data scientist role:. Perform data analysis and work with large volumes of data. Compile data from several different sources and determine...,"Austin, TX",,Data Scientist,,,
149,    Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Austin, TX",,Data Scientist – Predictive Analytics,,,
150,    Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Atlanta, GA",,Data Scientist – Predictive Analytics,,,
151,    Home Depot,"Data Scientists are responsible for organizing, analyzing, and then sharing insights gleaned from data. A Data Scientist leverages their technical abilities to...","Atlanta, GA",,DATA SCIENTIST,,,
152,    PreVisor,"
Identify opportunities for improving, collecting and analyzing data, and developing assessment content. The Research Scientist is critical to the Content and...","Atlanta, GA",,Research Scientist,,,
153,    Home Depot,"
Solid understanding and use of statistical software to manipulate, analyze and interpret data. Strong analytical and statistical skills.Advanced computer skills...","Atlanta, GA",,STATISTICAL FORECAST ANALYST,,,
154,    LexisNexis,"
Experience matching/merging multiple data set. Strong understanding of statistical methods applied to data analysis....","Alpharetta, GA 30005",,Statistical Modeler,,,
155,    Centers for Disease Control and Prevention,"
As a Supervisory Health Scientist, you will. Quality improvement and presentation and publication of data and research findings....","Atlanta, GA",141158.0,Supervisory Health Scientist,,,141158.0
156,    firstPRO,"
Growing and highly stable company has an immediate need for a Senior Software Engineer on a direct hire basis. In this role, you will play an integral role in","Atlanta, GA",120000.0,C++ Developer / Machine Learning,,,120000.0
157,    CACI International Inc,"
Assists in the review of study data for data quality; Oversees and develops data management systems, including computer programs to monitor data quality;...","Atlanta, GA",,STATISTICIAN Job,,,
158,    Manhattan Associates,"
Perform data analysis and data mining techniques to identify possible design gaps and problems internal to optimization engine. About Manhattan Associates....","Atlanta, GA",,"Senior Operations Research Analyst, R&D (Atlanta, GA)",,,
159,    Castle Medical,"
Gathers and maintains accurate and complete records of patient lab work results, processing worksheets, assay quality control data, test results, and final...","Smyrna, GA 30082",,Clinical Lab Scientist,,,
160,    Spartan Resources,"
Strong knowledge of operations research and data mining techniques and experience in formulating and implementing optimization and data analytics models....","Atlanta, GA",,Operations Research Analyst,,,
161,"    Wismettac Asian Foods, Inc.","
Wismettac Asian Foods, Inc., (formerly Nishimoto Trading Co., Ltd.), in Norcross, GA, seeks a full-time Market Research Analyst to research market conditions...","Norcross, GA 30071",50794.0,Market Research Analyst,,,50794.0
162,    AT&T,AT&T BIG DATA - SENIOR DATA SCIENTIST. Competitive Programmer or Competitive Data Scientist. Knowledge of scalable data visualization techniques....,"Atlanta, GA",,Senior Data Scientist BIG DATA,,,
