,company,description,location,salary,title,hourly_salary,monthly_salary,annual_salary
129,    Dept. Marine Resources,"
MARINE RESOURCES SCIENTIST I. The incumbent is responsible for fisheries management activities, fisheries data entry and quality control, and directing daily...","Augusta, ME",46332.0,MARINE RESOURCES SCIENTIST I,,,46332.0
130,    AdvancePierre Foods,"
Lead multiple complex development projects using detailed investigations, well thought out experimental design, sound scientific techniques and data based...","Portland, ME",,"Food Scientist-Poultry Protein, Culinary Concepts Experience",,,
131,    Staff Hunters,"
Evaluate data from a variety of sources to develop tools to detect and define problems and propose predictable solutions....","Westbrook, ME",,Systems Engineer,,,
132,"    Maine Molecular Quality Controls, Inc.","
Products through use of public data bases. We are seeking an experienced research scientist to assist with. The design, development and validation of quality...","Saco, ME",,R & D Scientist II MOLECULAR DIAGNOSTICS,,,
133,    KP Recruiting Group,"
Will interpret internally and externally generated data to develop issue detection tools to define problems and propose predictable solutions....","Westbrook, ME",,Systems Engineer-Biotechnology,,,
134,"    IDEXX Laboratories, Inc.","
Seeking an Associate Scientist to join a group of 10 engineers and scientists working to characterize new assays as they are integrated onto diagnostic...","Westbrook, ME 04092",,Associate Scientist/Engineer – Systems,,,
135,    Department of the Navy,"
From pipefitters to accountants, scientists to engineers, doctors to nurses-the careers and opportunities to make a difference are endless....","Portsmouth Naval Shipyard, ME",89405.5,QUALITY ASSURANCE SPECIALIST,,,89405.5
136,    CashStar,"
Work with engineering team and data scientists to define and test risk indicators, evaluate new data sources, tools and new models....","Portland, ME 04101 (West Bayside area)",,"Director, Product Management - Risk Solutions (Portland ME or Waltham, MA)",,,
155,"    Alambic Investment Management, LP","We are a small, entrepreneurial San Francisco-based quantitative investment firm looking for an addition to our research staff, ideally a PhD-level engineer,...","San Francisco, CA",,Data Scientist / Engineer,,,
156,    Collabera,Pull data from Teradata or oracle. 3-5 years of exp in handling large data set. SAS and SQL are primary skill....,"San Francisco, CA",,Data Scientist,,,
157,    Client of Protean Solutions Inc,"Deep understanding of data and data sets. As a Data Scientist, you will help with the development and application ofcustomer in support of media targeting,...","San Francisco, CA",,Data Scientist,,,
158,"    Pandora Media, Inc.","
Minimum two years managing scientists. Lead research and development activities across data science team. Want to manage Pandora's world class machine learning...","Oakland, CA",,"Manager of Research, User Engagement",,,
159,    Lawrence Berkeley National Laboratory,"
Perform data processing and preliminary data analysis. Assist with data analysis or data plots for presentations, proposals, and publications....","Berkeley, CA",,Isotope Geochemistry Research Associate (Energy Geosciences),,,
160,    Twitter,"
Ability to navigate large sets of data to tell meaningful stories. Execute and interpret data analyses that quantify the behaviors of users exposed to...","San Francisco, CA 94103 (South Of Market area)",,Research Analyst,,,
161,    kWh Analytics,"
Experience in weather data is a strong plus. A track record of spotting relevant trends in noisy data sets. Pivoting quickly from one data analysis project to...","San Francisco, CA 94104 (Financial District area)",120000.0,Data Scientist,,,120000.0
162,    Medlytic,"
We are looking for a data scientist who sees waste and unlocked value in EMR data, and is passionate about breaking down these barriers to improve healthcare....","San Francisco, CA",110000.0,Data Scientist / Bioinformatics (co-founder),,,110000.0
163,    Veear Projects,"
Remote/Onsite Data Scientist*. Mentor other data scientists and engineers. You will work with this team to create training and evaluation data sets....","San Francisco, CA",,Data Scientist,,,
164,    Kabbage,"
Strong background/experience with ETL, data mining, statistical analysis, data processing with very large amounts of data....","San Francisco, CA",,Chief Data Scientist,,,
165,"    Pandora Media, Inc.","
Minimum two years managing scientists. Lead research and development activities across data science team....","Oakland, CA",,"Manager of Research, Music Engagement",,,
166,    USM BUSINESS SYSTEMS INC,"
We are looking for Data Scientist with experience in Full stack Development/Automation Engineering and AWS Architecture. San Ramon, CA....","San Ramon, CA",,Data Scientist,,,
167,    Vida,"
Working knowledge of distributed systems and big data processing pipelines. Define, research, experiment, prototype, design, code, test, deploy, maintain, and...","San Francisco, CA 94110 (Mission area)",,"Scientist, Data Science",,,
168,    Clorox,"GLOBAL INSIGHTS MANAGER, DATA SCIENTIST. Build complex data sets from multiple data sources. Data Analytics Skills:....","Oakland, CA",,Global Insights Manager - Data Scientist,,,
169,    Realogy Corporate,Work closely with data scientists and engineers to design and maintain scalable data models and pipelines. You will participate in the design and implementation...,"Emeryville, CA",,"Software Engineer, Data and Algorithms",,,
172,    Galvanize,"
Lead Instructor, Principal Data Scientist. Join us in building the world's hub for education in data science and data engineering....","San Francisco, CA",,"Lead Instructor, Principal Data Scientist",,,
173,    Roche,"
We are seeking a Principle Data Scientist who is a self-starter, understands genetic sequencing bioinformatics data and clinical trial data, brings the diverse...","Pleasanton, CA",,"Principal Data Scientist, Sequencing",,,
174,    Mckesson,"
Expertise troubleshooting data quality issues, analyzing data requirements, and utilizing big data systems. The Data Engineer will work with data scientists,...","San Francisco, CA 94104 (Financial District area)",,"Data Engineer, Six Sigma",,,
175,    Kabbage,"
What it takes to be a Data Scientist at Kabbage. A day in the life of a Data Scientist at Kabbage. Work with multiple, complex data sources such as financial...","San Francisco, CA",,Data Scientist,,,
176,    OpenTable,"
Senior Data Scientist. OpenTable is looking for an experienced, impact-driven Senior Data Scientist to join our team....","San Francisco, CA 94103 (South Of Market area)",,Senior Data Scientist,,,
177,    Boxed,"
Grow as an data scientist. There is a tremendous amount of things happening across our platforms and we are looking for a seasoned Data Scientist to leverage...","San Mateo, CA 94403 (Sugerloaf area)",,Senior Data Scientist,,,
178,    Theravance Biopharma,"
Scientist or above, depending on qualifications) in drug discovery research with a particular focus on gastrointestinal diseases....","South San Francisco, CA",,Sr. Scientist,,,
179,    Finezi Inc,"
Data Scientist, Expert*. Experience is collecting data from various data sources with different data platforms....","San Francisco, CA",,Data Scientist,,,
180,    Aduro Biotech,"
Capable of working independently with minimal supervision, including the ability to analyze data and understand, interpret, and present the final results....","Berkeley, CA",,Research Associate – Medicinal Chemistry,,,
181,    Paymentwall,"
Ability to use appropriate data analytics tools to compile data in an effective manner. Knowledge of Data Analytics tool....","San Francisco, CA 94103 (South Of Market area)",,International Market Research Analyst,,,
187,    University of California Berkeley,"
Collect and analyze workforce data, including original research and extant data. Data and fact checking analyses and documentation....","Berkeley, CA",,Research and Policy Analyst,,,
188,    IntraNotice Technologies,"
IntraNotice Technologies is seeking a Marketing and Market Research Analyst for our cloud enterprise software for law firms and compliance management. We are","Alameda, CA",20.0,Marketing and Market Research Analyst,20.0,,
189,    Selby Jennings,"
Integrate data and control APIs utilzing 3rd party biz apps. One of our largest start-up clients, a rapidly growing Bay Area startup, is looking to add an...","San Francisco, CA",160000.0,Business Intelligence/Data Scientist at VC Bay Area Start-up,,,160000.0
190,    Walmart eCommerce,"
The team will consist of other behavioral scientists with various skill sets. The position is an applied role involving data analytics supporting projects the...","San Bruno, CA 94066",,Research and Analytics,,,
191,    University of California San Francisco,"
Demonstrated ability to work collaboratively with a diverse group of individuals in the clinical field such as principal investigators, scientists, and...","San Francisco, CA",,Protocol Development Specialist,,,
192,    Purigen Biosystems,"
Work with marketing and applications scientists to create extraction chemistries with easy-to-use workflows based on voice-of-customer feedback....","Pleasanton, CA",,Senior Scientist,,,
193,    AT&T,"
Working knowledge of machine learning, big data and real-time analytics. Big data analytics of end-to-end service and quality management- Create service KPIs...","San Ramon, CA",,Sr Member of Technical Staff Data Scientist,,,
194,    Virta Health,"
CLINICAL INFORMATICS SCIENTIST. Develop tools for data flows to automate currently manual data analysis and workflow tasks....","San Francisco, CA",,Clinical Informatics Scientist,,,
195,    Pacific Gas and Electric,"
The Principal Data Scientist will specifically be responsible for:. Also GIS, spatial data as well as data modeled by graphs, graph databases....","San Francisco, CA 94105 (Financial District area)",,Principal Data Scientist,,,
196,    Evidera,"
Research Scientist - Meta Research – San Francisco, CA. We are looking for a Research Scientist for our Meta Research team....","San Francisco, CA",,"Research Scientist - Meta Research - San Francisco, CA",,,
200,    Opinion Dynamics,"The ideal candidate will be a talented writer who can translate numbers into stories, or a strong data analyst who can write better each time....","Oakland, CA",,"Project Analyst, Energy Team",,,
201,    Pharmacyclics,Responsible for presenting data in group meeting. The scientist will take a lead role in designing experiments to further understand mechanism of action of...,"Sunnyvale, CA",,Scientist I,,,
202,    Zymergen,"
Competent in using statistics to strengthen experimental design and enable robust data analysis. Zymergen is hiring a Scientist to develop technology for our...","Emeryville, CA 94608",,"Scientist, Genome Engineering",,,
203,    Hired,"
Hired is looking for a Senior Data Scientist to be the first member of our data science and relevance team to build new products using machine learning...","San Francisco, CA",,Senior Data Scientist,,,
204,"    Pandora Media, Inc.","
For this special role, we are looking for an enthusiastic, seasoned data scientist who is interested both in answering questions and building useful tools....","Oakland, CA",,"Sr. Scientist, Music Makers",,,
205,    Twitter,"
Data is at the core of everything we do at TellApart - we thrive and prosper based on our ability to find insights in our data and apply them to drive revenue...","San Francisco, CA 94103 (South Of Market area)",,Sr. Machine Learning Engineer - TellApart (Data Products),,,
206,    Fitbit,"
Experience validating sensor performance including human data collections when necessary. Programming, data analysis and scientific computation preferred...","San Francisco, CA 94105 (Financial District area)",,"Research Scientist, Biosensors",,,
207,    6sense,"
Data Scientist/ Machine Learning. Developing processes to monitor and ensure data integrity. Combining multiple sources of data from APIs, RSS feeds, and human...","San Francisco, CA",,Data Scientist/Machine Learning,,,
208,    Doximity,"
We're looking for a Data Analyst to join our data team. Develop, implement and maintain data products utilizing both external data and Doximity’s rich internal...","San Francisco, CA",,Data Analyst/Senior Data Analyst,,,
209,    Nexant,"
Projects commonly involve the analysis of hourly energy consumption data for hundreds of thousands (if not millions) of utility customers....","San Francisco, CA 94105 (Financial District area)",,Analyst I – Quantitative/Statistical,,,
210,    Von Church,"
2+ years of experience in a data analyst, financial analyst, data scientist or similar role performing quantitative, statistical or financial analysis....","San Francisco, CA",,Jr. Data Analyst,,,
211,    Walmart eCommerce,"
We are Big Data Engineers, Data Analysts, Data Scientists and Applications Engineers, working in small groups to solve sophisticated and impactful problems....","San Bruno, CA 94066",,Smart Pricing Data Analyst,,,
213,    Opinion Dynamics,Directing and overseeing quantitative and qualitative data analysis. Directing and overseeing the design of survey instruments and qualitative data collection...,"Oakland, CA",,Project Manager,,,
214,"    MicroSynbiotiX, Ltd.",Have industry experience (5 years or more preferred) working as a lead scientist or associate. We are looking to hire a skilled and motivated scientist with...,"San Francisco Bay Area, CA",,Senior Algal or Plant Molecular Biologist,,,
217,    University of California San Francisco,"
Oversight of MR scan data acquisitions, data transfer and reporting, development of new strategies for automated processing;...","San Francisco, CA",,Staff Research Associate I/II,,,
218,    Twist Bioscience,"
Scientist will build complex genes to service the synthetic biology industry; Scientist will manage day to day activities of others on the custom production...","San Francisco, CA 94158 (South Of Market area)",,Sr. Production Scientist,,,
219,    Google,"
Data Scientists are changing the world one technological achievement after another. You weave stories with meaningful insight from data....","San Bruno, CA",,"Product Analyst, Data Sciences",,,
220,    Scribd,"
Create pipelines that transform raw application data into actionable business data. About the Data Team. 2-5+ years of professional experience in data analytics...","San Francisco, CA 94107 (South Of Market area)",,Data Scientist,,,
221,    L-3 Communications,"
Analyze data from experiments to compare with numerical and theoretical predictions. Our talented scientists and engineers continue to advance the state-of-the...","San Leandro, CA",,Scientist (Computational/Experimental),,,
222,    Symic Bio,"
Comprehensive computer data entry capabilities. Analyzing and interpreting data from in vivo studies. Keeping detailed records of data and procedures during...","Emeryville, CA",,Pharmacology Scientist,,,
223,    Castlight Health,"
We’re hiring data scientists for a team to tackle a series of greenfield projects. The ideal candidate will be an entrepreneurial, motivated data scientist who...","San Francisco, CA 94105 (Financial District area)",,Senior Data Scientist,,,
224,    Pinterest,"
Experience with web scale data and big data systems (e.g. We’re looking for a data scientist to help us connect Pinners to Pins they’ll love....","San Francisco, CA 94103 (South Of Market area)",,Data Scientist - Discovery Science,,,
225,    Denali,"
In anticipation of the Company’s growth plans, Denali Therapeutics is seeking to recruit a Scientist/ Senior Scientist focusing on using bioinformatics to...","South San Francisco, CA",,"Scientist/Sr. Scientist, Bioinformatics",,,
226,    Ancestry,"
Working with a nimble team of physicians, geneticists, statisticians, computer scientists and epidemiologists, the Scientific Data Wrangler will be responsible...","San Francisco, CA",,Scientific Data Wrangler,,,
233,    Esurance,"
Extensive experience in data management and data scrubbing. Technical mentoring for junior data scientists in the team while owning independent deliverables....","San Francisco, CA",,Senior Data Scientist,,,
234,    Demandbase,"
As the Senior Data Scientist, you’ll be responsible for developing and testing hypotheses on behavioral responses in B2B marketing, creating models that extract...","San Francisco, CA",,Senior Data Scientist,,,
235,    Anki,"
Build and execute hiring plans, and maintain a stellar staff including product analysts, data engineers, and data scientists....","San Francisco, CA",,Senior Director of Analytics,,,
236,    Ancestry,"
Data Mining Product team is looking for an experienced Data Scientists who has a passion to build data products and data systems....","San Francisco, CA",,Senior Data Scientist,,,
237,    Rubicon Project,"
Rubicon Project is looking for talented, passionate, experienced, and entrepreneurial Data Scientist. Expertise in machine learning, data mining, predictive...","San Francisco, CA 94107 (South Of Market area)",,Senior Data Scientist,,,
238,    Castlight Health,"
We’re hiring data scientists for a team to tackle a series of greenfield projects. Creativity and a startup mindset - we look to our data scientists to...","San Francisco, CA 94105 (Financial District area)",,Senior Data Science Engineer,,,
239,    Lawrence Berkeley National Laboratory,"
Data processing is under development for high frequency instrument data to model-ready end-products. Data processing and analytics for these data are active...","Berkeley, CA",,AmeriFlux Carbon Flux Data Processing Postdoctoral Fellow,,,
240,    Zymergen,"
We favor Scientists with experience in some or all of the following areas:. Zymergen is hiring a distinctive Scientist for microbial strain engineering via...","Emeryville, CA 94608",,"Scientist, Metabolic Pathway Engineering",,,
241,    Radius,"
Well versed in data visualization and exploratory data analysis. Knowledge of algorithms, and data structures....","San Francisco, CA",,Data Intelligence Engineer,,,
242,    Swatcloud,"
Looking for a junior data scientist for our first-of-its-kind sales analytics platform, which combines a proprietary, active-learning network with applications...","San Ramon, CA",,Jr.Data Scientist,,,
247,    The Climate Corporation,"
Build and maintain the core data model, ETL/ELT, core data metrics and data quality. We are looking for a Data Engineer to not only build data pipelines to...","San Francisco, CA",,Data Engineer,,,
248,    Cloudmellow,"
Senior Data Engineer, Advanced Analytics Focus -- Analytic Data EngineeringThe Analytic Data Engineering team at client is responsible for building systems and...","San Francisco, CA",,"Data Scientists,San Francisco, CA",,,
249,    DocuSign,"
Senior Data Scientist - Product Engineering. Increase transparency and visibility building key data sets. Strong experience with SQL for data extraction and ETL...","San Francisco, CA 94105 (Financial District area)",,Senior Data Scientist,,,
250,    Gap Inc.,"
The Senior Data Scientist, Customer Data Science, delivers dedicated customer profiling and segmentation, statistical modeling and machine learning algorithms,...","San Francisco, CA",,"Senior Data Scientist, Customer Data Science",,,
251,    Grammarly,"
Grammarly is looking for a hands-on data scientist. Collaborate with the data engineering team to expand data coverage, compute new metrics, and continually...","San Francisco, CA",,Data Scientist,,,
252,    Google,"
Develop new simulation tools and validate computational models with test data. We’re a team of makers, entrepreneurs, engineers and scientists with deep...","Alameda, CA",,"Systems Engineer, Simulations (Makani), X",,,
253,    Fitbit,"
Fitbit's anonymized health metrics give Senior Data Scientists one of the most exciting health data sets in existence....","San Francisco, CA 94105 (Financial District area)",,Senior Data Scientist - Product,,,
254,    Color Genomics,"
We are looking for a motivated, proactive data scientist who will have a strong impact in one or more areas such as helping Color reach a broader market,...","Burlingame, CA",,Data Scientist,,,
255,    Workbridge Associates,"
The Data Scientist will have an opportunity to work on huge data sets. Pulling data from data warehouse, massaging data, inspecting validation processes,...","San Francisco, CA",165000.0,Data Scientist,,,165000.0
256,    Storm8,"
5+ years of work experience, preferably as data scientist or in highly analytical role. 3-5 years of work experience, preferably as a data scientist or in...","Redwood City, CA 94065",,Senior Data Scientist,,,
262,    Tiger Analytics,"
As a Data Scientist you will work with our clients to define a business problem into an analytical problem, determine solution requirements, design the analysis...","San Francisco Bay Area, CA",,Data Scientist,,,
263,    Workbridge Associates,"
Familiarity with data visualization, web analytics and modeling. 5+ years experience in machine learning and big data technologies (Hadoop or Spark preferred)....","San Francisco, CA",142500.0,Senior Level Data Scientist,,,142500.0
264,    Oakland Unified School District,"
Provide training on data analysis, data systems and appropriate use of data to District staff. Data Analyst II:....","Oakland, CA",84649.0,"Data Analyst II (Department: Research, Assessment & Data)",,,84649.0
265,    ZestFinance,"
Knowledge of data structures and parallelization. Experience with large scale data storage and analysis (e.g., Spark, MapReduce) is a plus....","San Francisco, CA",,Sr. Machine Learning Modeler / Data Scientist,,,
266,"    Pandora Media, Inc.","
This analyst will partner with ad product managers, designers, engineers, data scientists and sales teams to provide product usage and trend insights....","Oakland, CA",,"Product Analyst, Listener Ad Experience",,,
267,    iRhythm,"
Develop data fusion algorithms for analyzing signal data from multiple sensors. We are looking for a data scientist / machine learning engineer to help develop...","San Francisco, CA",,Data Scientist/Machine Learning Engineer,,,
268,    Mines.io,"
We are looking for a data scientist/developer to fill a cross-functional role on our small team. We expect you to be able to work and experiment with large data...","San Francisco, CA",100000.0,Full-Stack Data Scientist,,,100000.0
269,    Workbridge Associates,"
The data scientists will collect data from the sources other than clinical trials and develop algorithms to study the data and improve drug manufacturing....","San Francisco, CA",150000.0,Senior Data Scientist,,,150000.0
270,    Zymergen,"
The Scientist will work together with other scientists, automation engineers, and software engineers to deploy these new technologies in our microbe engineering...","Emeryville, CA 94608",,"Scientist, CRISPR/Cas9 Genome Engineering",,,
271,    Kaiser Permanente,"
Seeks consultation from senior scientists for specific scientific and administrative issues. Works independently with general supervision by higher level...","Oakland, CA",,Research Scientist I Investigator,,,
277,    Stitch Fix,"
High skill in data visualization (big plus). We want you to innovate our algorithms and better grok the data, leveraging every bit of our data and pioneer...","San Francisco, CA",,Data Scientist,,,
278,    Siemens,"
Hands-on expertise in handling and analyzing large data sets. We are looking for a motivated Research Scientist who would like to be part of a dynamic team in...","Berkeley, CA",,Research Scientist - Machine Intelligence,,,
279,    MarkMonitor,"
Data skills (SQL, Hive, Pig). Applying machine learning to classification problems on unstructured data. MarkMonitor&mdash;the world leader in brand protection...","San Francisco Bay Area, CA",180000.0,Data Scientist,,,180000.0
280,"    Aspera, an IBM Company","
The Data Engineer position will focus on big data architectural problems in the Hadoop ecosystem. Container-izing these data pipelines for deployment....","Emeryville, CA",,Data Analytics Engineer at AsperaLabs,,,
281,    Arka,"
Implementing, testing, and proving out Big Data tools and patterns for analytic workloads – in-memory architectures, streaming workflows, event-sourced and...","San Francisco, CA",,Sr. Data Scientist,,,
282,    Ripple,"
We are seeking our first Data Scientist. Apply your expertise in quantitative analysis, data mining and data visualization to understand how our users interact...","San Francisco, CA",,Data Scientist,,,
283,    Zymergen,"
We favor a Scientist with experience in some or all of the following areas:. Zymergen is hiring a Scientist with experience in fermentation to advance bench...","Emeryville, CA 94608",,"Scientist, Fermentation",,,
284,    Bugcrowd,"
As a data scientist in a small team of engineers, you’ll have the chance to pitch ideas, do R&D, and to own data products that will change the course of our...","San Francisco, CA",,Data Scientist,,,
285,    Udemy,"
Experience in performing data analysis or building data pipelines in Python. Experience in complex data modeling and application of machine learning algorithms....","San Francisco, CA",,Sr. Data Scientist,,,
286,    University of California Berkeley,"
Experienced in working with a small to med size data warehouse. The University of California, Berkeley, is one of the world’s most iconic teaching and research...","Berkeley, CA",,"Associate Director of Data Analysis, Haas School of Business ,",,,
293,    Lygos,"
Purification groups to interpret integrated process data and find creative solutions to problems. The successful applicant will bridge metabolic engineering and...","Berkeley, CA",,METABOLIC ENGINEERING/FERMENTATION: SCIENTIST I,,,
294,    Lygos,"
Bioinformatics, and fermentation groups to interpret data and find creative solutions to problems. The successful applicant will serve as a strain engineer,...","Berkeley, CA",,METABOLIC ENGINEERING: SCIENTIST I,,,
295,    OnboardIQ,"
Excellent communication skills, communicating with diverse teams including Data scientists, Data engineers, product managers, and executive management....","San Francisco, CA",,Algorithm and Data Scientist (Machine Learning),,,
296,    Demandbase,"
As the Data Scientist, you’ll be responsible for developing and testing hypotheses on behavioral responses in B2B marketing, creating models that extract data...","San Francisco, CA",,Data Scientist,,,
297,    Komodo Health,"
Experience working with proprietary secondary data including medical / pharmacy claims, prescription data, sales data, and longitudinal patient-level data....","San Francisco, CA",,Data Scientist,,,
298,"    Alambic Investment Management, LP","
We are a small, entrepreneurial San Francisco-based quantitative investment firm looking for an addition to our research staff, ideally a PhD-level engineer,...","San Francisco, CA 94111 (Financial District area)",,Data Scientist / Engineer,,,
299,    Workbridge Associates,"
Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...","Berkeley, CA",137500.0,Senior Data Scientist (Healthcare),,,137500.0
300,    Realogy Corporate,"
Junior Data Scientist. The Junior Data Scientist will work closely with ZipRealty’s data science team, product managers, engineers and leadership team to...","Emeryville, CA",,Junior Data Scientist,,,
301,    Airbnb,"
Work with data scientists to develop a scalable data visualization platform. Help data scientists optimize productionized Pig and Hive queries....","San Francisco, CA",,Data Engineer,,,
302,    University of California Berkeley,"
Assist with data collection. Basic knowledge of one or more specialized computer programs for the analysis of data....","Berkeley, CA",32.31,"Research Data Analyst, ARE",32.31,,
320,    UbiVac,"Experience with immunoprecipitation, protein arrays, microbiome, CMV, bioinformatics/analysis of whole exome sequence data and application of prediction...","Portland, OR",,Scientist II,,,
321,    Aroghia Group,And who possesses enough programming and database skills to work with our existing data warehouse. A great candidate can analyze our extensive suite of...,"Beaverton, OR",,Senior Java Developer / Data Scientist,,,
322,    ZoomCare,You bring healthcare data insights to your craft and love to evangelize ZOOM+. We require specific DNA to make this company great so it will take a sourcing...,"Portland, OR",,Talent Scout (Healthcare Recruiter),,,
323,    Simple Finance,"
The Data Science and Data Engineering teams work together to manage Simple's data as a strategic asset....","Portland, OR",,Data Scientist,,,
324,"    The Cadmus Group, Inc.","
Justify and document technical decisions related to research planning and data analysis. The Cadmus Group has an opening for a part-time Associate/Senior...","Portland, OR 97205 (Northwest area)",,Statistical and Econometric Consultant,,,
325,    Nityo Infotech Corp.,"
At least 6 years of experience in Data warehousing. Please find job description:....","Hillsboro, OR",,Data Scientist..in Hillsboro (OR),,,
326,    AbSci,"
Familiarity with high-throughput analytical techniques and data analysis. Performs data analysis of scientific results and presents to management and members of...","Portland, OR 97239 (Homestead area)",,Senior Scientist,,,
