,company,description,location,salary,title,hourly_salary,monthly_salary,annual_salary
66,    MaxPoint,"
Senior Data Scientist – Signal Processing. Review code and model designs of other Data Scientists. Design large scale data pipelines that transforms raw signal...","Austin, TX 78759 (Arboretum area)",,Senior Data Scientist - Signal Processing,,,
67,    HomeAway,"
Collaborate with other teams including Software Developers, Data Scientist, and Data Warehouse Developers. Work with large, multi-terabyte, data sets data using...","Austin, TX 78704 (South Lamar-South Congress area)",,Sr. Hadoop Developer,,,
68,    MaxPoint,"
Senior Data Scientist – Geospatial Analytics. Design large scale data pipelines that transforms raw location data into usable customer insights....","Austin, TX 78759 (Arboretum area)",,Senior Data Scientist - Geospatial Analytics,,,
69,    Square Root,"
We depend on our senior developers to be highly collaborative within the engineering group as well as with product managers and data scientists, so that Square...","Austin, TX",,Senior Developer (Remote),,,
70,    University of Texas at Austin,"
Collect, compile, and analyze data. To support funded research projects by providing lab management and conduct research in cell and molecular biology research...","Austin, TX",3519.0,Research Engineering/ Scientist Associate III - Lab Manager,,3519.0,
71,    KPMG,"
Eight years of professional experience working as a Data Scientist. Machine learning, data visualization, statistical modeling, data mining, or information...","Austin, TX 78701 (Downtown area)",,"Manager - Data Scientist, Big Data",,,
72,    Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Austin, TX",,Data Scientist – Predictive Analytics,,,
73,    Indeed,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,"Austin, TX",,Data Engineer,,,
74,    Indeed,How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....,"Austin, TX",,Data Scientist,,,
75,    Indeed,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,"Austin, TX",,Data Engineer,,,
76,    Sense Corp,Data analyst/data scientist role:. Perform data analysis and work with large volumes of data. Compile data from several different sources and determine...,"Austin, TX",,Data Scientist,,,
77,    MaxPoint,"Senior Data Scientist. Mentor other data scientists in algorithms, models, tools, and products that make the team more efficient....","Austin, TX",,Senior Data Scientist,,,
78,    All-In Analytics,"
Senior Deep Learning Data Scientist. Forecasting, Statistical Modeling, building new data driven products....","Austin, TX",150000.0,Senior Deep Learning Data Scientist,,,150000.0
79,    Spiceworks,"
Analyze Spiceworks’ databases, which will include data extrapolation to weight/map data to known populations like census data, D&B records, etc....","Austin, TX",,"Director, Marketing Sciences & Advanced Analytics",,,
80,    Indeed,"
Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....","Austin, TX 78731",,Data Engineer,,,
81,    NVIDIA,"
Research Scientist for Computer Vision / Machine Learning. And depth in data parallel architectures and computer vision or machine learning....","Austin, TX",,Research Scientist for Computer Vision / Machine Learning,,,
82,"    RetailMeNot, Inc.","
RetailMeNot is looking for a highly analytical, passionate, collaborative, articulate data scientist to work in the domain of Attribution....","Austin, TX",,"Principal Data Scientist, Attribution",,,
83,    Main Street Hub,"
As a Data Scientist at Main Street Hub, you will…. Resourceful in distilling questions, wrangling data, and driving decisions....","Austin, TX 78701 (Downtown area)",,Data Scientist,,,
84,    IBM,"
The Senior Data Scientist will:. Data mining tools:. Find and interpret rich data sources, manage large amounts of data and create visualizations to aid in...","Austin, TX",,GBS Watson Health - Senior Data Scientist,,,
85,    NVIDIA,"
Senior Machine Learning and Compiler Engineer Senior Machine Learning and Compiler Engineer, Austin,Texas We are looking for a senior machine learning","Austin, TX",,Senior Machine Learning and Compiler Engineer,,,
86,"    RetailMeNot, Inc.","
Collaborate effectively with engineers, data scientists, product managers and other internal customers. A pragmatic approach to problem solving, establishing...","Austin, TX",,Data Scientist,,,
87,    University of Texas at Austin,"
Interacts with center scientists and external clients. Creates, maintains and visualizes data from many different sources into cohesive optimized data...","Austin, TX",6388.0,Research Engineering/ Scientist Associate IV - Spatial Data Scientist,,6388.0,
88,    Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Austin, TX",,Data Scientist – Predictive Analytics,,,
89,    Indeed,How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....,"Austin, TX",,Data Scientist,,,
90,    Sense Corp,Data analyst/data scientist role:. Perform data analysis and work with large volumes of data. Compile data from several different sources and determine...,"Austin, TX",,Data Scientist,,,
91,    MaxPoint,"Senior Data Scientist. Mentor other data scientists in algorithms, models, tools, and products that make the team more efficient....","Austin, TX",,Senior Data Scientist,,,
92,    University of Texas at Austin,"
Lead a small development team in the design, implementation, and maintenance of software applications used for geodetic data analysis....","Austin, TX",8541.5,Engineering Scientist - Geospatial Application Software Developer,,8541.5,
93,    Natera,"
Data collection and maintenance. Associate degree and/or 2 years minimum data entry/customer service experience....","Austin, TX 78731",,Clinical Data Reporter,,,
94,    Precision For Value,"
Weighted data, clinical trial data. Administrative hospital data. Electronic health record data. Administrative health insurance claims data....","Austin, TX",,"Research Scientist, Epidemiology and Statistics, Health Analytics",,,
95,    Cognitive Scale,"
Prototype data models. Modeling of time-series data. Statistical Machine Learning and Data Mining (clustering, classification, ranking, regression, online...","Austin, TX",,Research Engineer - Machine Learning,,,
96,"    RetailMeNot, Inc.","
The Senior Product Manager, Data will be accountable for developing software and data driven products while collaborating with our other product initiatives....","Austin, TX",,"Sr. Product Manager, Data",,,
97,    Dimensional Fund Advisors,"
Dimensional is a privately owned global investment manager serving select financial advisors and institutional clients. Since 1981, our entrepreneurial,","Austin, TX",,"Analyst, Research",,,
98,    Last Word Consulting,"
Big Data Architect*. Collaborate with product/project managers, data scientists, business users and other engineers to define requirements to design, build and...","Austin, TX",65.0,Big Data Architect_W2/1099,65.0,,
99,    Gold Executive Services,"
Complete ownership of all data analysis (until the data team is able to grow). Experience building customer-facing data products....","Austin, TX",,Data Scientist - Startup,,,
100,    KPMG,"
Five years of professional experience working as a Data Scientist. Machine learning, data visualization, statistical modeling, data mining, or information...","Austin, TX 78701 (Downtown area)",,"Sr Associate Data Scientist, Big Data",,,
101,    University of Texas at Austin,"
Provide technical and research focused leadership and participate in a small, dynamic team of customer focused scientists....","Austin, TX",8124.5,Research Associate - R and D Data Scientist,,8124.5,
102,    Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Austin, TX",,Data Scientist – Predictive Analytics,,,
103,    Indeed,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,"Austin, TX",,Data Engineer,,,
104,    Indeed,How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....,"Austin, TX",,Data Scientist,,,
105,    Sense Corp,Data analyst/data scientist role:. Perform data analysis and work with large volumes of data. Compile data from several different sources and determine...,"Austin, TX",,Data Scientist,,,
106,    MaxPoint,"Senior Data Scientist. Mentor other data scientists in algorithms, models, tools, and products that make the team more efficient....","Austin, TX",,Senior Data Scientist,,,
107,    University of Texas at Austin,"
Demonstrated ability to support post-mission data analysis of high-frequency SONAR systems pertaining to current EOD MCM sensor packages....","Austin, TX",3935.0,Research Engineering/ Scientist Associate II,,3935.0,
108,    Apple,"
Strong data & root cause analysis. Proven experience analyzing, interpreting and summarizing complex data as it relates to call center technologies....","Austin, TX",,Workforce Management & Quantitative Planning Analyst,,,
109,    University of Texas at Austin,"
Knowledge of digital signal processing, image processing, machine learning, autonomous control or statistical data analysis....","Austin, TX",8541.5,Engineering Scientist - R and D Algorithm and System Developer,,8541.5,
110,    CCC Information Services Inc.,"
Work with data scientists and other technical staff to operationalize analysis and machine learning algorithms....","Austin, TX",,Python Developer,,,
111,    Cambia Information Group,"
Enjoying spending the workday in coding, numbers and data. PowerPoint, in particular, moving data seamlessly into PowerPoint....","Austin, TX 78757 (Crestview area)",,Market Research Analyst,,,
112,    Bioo Scientific Corp.,"
Broad experience analyzing large data sets, preferably NGS data. Exploring new data analysis tools and management of large data storage....","Austin, TX 78744",,Bioinformatics Analyst – 020,,,
113,    MaxPoint,"
Senior Data Scientist. Mentor other data scientists in algorithms, models, tools, and products that make the team more efficient....","Austin, TX 78759 (Arboretum area)",,Senior Data Scientist,,,
114,    Accenture,"
Join Accenture and help transform leading organizations and communities around the world. The sheer scale of our capabilities and client engagements and the","Austin, TX 78746",,Claims Research Analyst,,,
115,    Andrew Harper LLC,"
Must be able to analyze data to build a story that supports commercial concerns of the company. Andrew Harper, LLC is currently searching for a Research Analyst...","Austin, TX 78701 (Downtown area)",,Research Analyst,,,
116,    Amazon Corporate LLC,"
Demonstrated experience incubating and commercializing new ideas, working closely with research scientists and technical teams from concept generation through...","Austin, TX 78728",,Data Scientist - Order Assignment Optimization,,,
117,    Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Austin, TX",,Data Scientist – Predictive Analytics,,,
118,    Indeed,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,"Austin, TX",,Data Engineer,,,
119,    Indeed,How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....,"Austin, TX",,Data Scientist,,,
120,    Indeed,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,"Austin, TX",,Data Engineer,,,
121,    MaxPoint,"Senior Data Scientist. Mentor other data scientists in algorithms, models, tools, and products that make the team more efficient....","Austin, TX",,Senior Data Scientist,,,
122,    IBM,"
Data analytics and modeling, data visualization, business acumen and strategy. The Data Scientist and Senior Strategy Consultant role is in our Worldwide...","Austin, TX",,Worldwide CoC Team – Data Scientist and Senior Strategy Consultant,,,
123,    Windhaven Insurance,"
Work with other data scientists with a broad range of analytical expertise and subject matter experts to deliver data products and provide business insights...","Austin, TX",,Lead Data Scientist,,,
124,    HireStarter,"
Extracting data from various applications and systems, in particular, large relational databases. Advanced degree in Computer Science, Data Science, Mathematics...","Austin, TX 78751 (Hyde Park area)",,Data Scientist (customer focused),,,
125,    CDK Global,"
From data scientists to sales and operations experts, we’re hiring to support your growth and ours - Green light your career ....","Austin, TX",,VP of Sales - Data Services,,,
126,    University of Texas at Austin,"
Experience with quantitative research methods and data analysis. Techniques could include, but are not limited to, conducting stakeholder interviews, performing...","Austin, TX",6666.0,Research Engineering/ Scientist Associate V - Design Researcher,,6666.0,
127,    Galvanize,"
Lead Instructor, Principal Data Scientist. Join us in building the world's hub for education in data science and data engineering....","Austin, TX",,"Lead Instructor, Principal Data Scientist",,,
128,    University of Texas at Austin,"
Detailed data analyses of GPS observation and navigation data collected from a global GPS tracking network to support objectives related to assessing GPS...","Austin, TX",8541.5,Engineering Scientist - GPS Data Analyst,,8541.5,
129,    Center for Public Policy Priorities,"
Embrace your inner data nerd.*. Develops and maintains extensive knowledge of national, state, and local data sources and collects and manages data from state...","Austin, TX 78752 (St Johns area)",,Research Analyst,,,
130,    NVIDIA,"
Experience working with academic research community supporting computer vision, data analytics, or Deep Learning....","Austin, TX",,Solution Architect (Western Region),,,
131,    IBM,"
Data analytics and modeling, data visualization, business acumen and strategy. The Data Scientist and Strategy Consultant role is in our Worldwide Advanced...","Austin, TX",,Worldwide CoC Team – Data Scientist and Strategy Consultant,,,
132,    Sense Corp,Data analyst/data scientist role:. Perform data analysis and work with large volumes of data. Compile data from several different sources and determine...,"Austin, TX",,Data Scientist,,,
133,    Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Austin, TX",,Data Scientist – Predictive Analytics,,,
134,    Indeed,How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....,"Austin, TX",,Data Scientist,,,
135,    Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Austin, TX",,Data Scientist – Predictive Analytics,,,
136,    Indeed,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,"Austin, TX",,Data Engineer,,,
137,    GE Aviation,"
Data Engineering/Data & Analytics Scientists work with commercial and internal customers to implement new data readout configurations for airborne data...","Austin, TX 78701 (Downtown area)",,Data & Analytics Scientist,,,
138,    Roc Search,"
A Mid-level Data Scientist is needed to help improve the current process and algorithms in the healthcare pharma revenue stream....","Austin, TX",85000.0,Data Scientist - North Austin/80k/Analytics,,,85000.0
139,    Spredfast,"
You’ll have a great understanding of social data – including behind-the-scenes data dimensions that can lead to greater insights....","Austin, TX 78701 (Downtown area)",,Research and Insights Senior Analyst,,,
140,    Amazon Corporate LLC,"
Are you interested in building data pipelines that process petabytes of customer behavior data? Strong grasp of data structures and algorithms....","Austin, TX 78728",,"Software Development Engineer, Big Data",,,
141,    Galvanize,"
Associate Instructor, Data Scientist. Join us in building the world's hub for education in data science and data engineering....","Austin, TX",,"Associate Instructor, Data Scientist",,,
142,    Galvanize,"
Instructor, Sr Data Scientist. Join us in building the world's hub for education in data science and data engineering....","Austin, TX",,"Instructor, Sr.Data Scientist",,,
143,    Indeed,"
How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....","Austin, TX 78759 (Arboretum area)",,Data Scientist,,,
144,    HomeAway,"
Experience in processing and analyzing Big data - i.e large scale data volumes, semi-structured and unstructured data and....","Austin, TX 78704 (South Lamar-South Congress area)",,Staff Data Scientist,,,
145,    TechTank Staffing & Consulting Solutions,"
What are we looking for in this Data Scientist Programmer/Specialist:. Data Scientists - Not necessarily picking apart data models but being able to find a good...","Austin, TX 78729",140000.0,Data Scientist Programmer/Specialist,,,140000.0
146,    University of Texas at Austin,"
Development of tools for quantitative stratigraphic analysis and data analysis/database management. We seek a clastic stratigrapher with strengths in...","Austin, TX",8333.0,Research Scientist,,8333.0,
147,    MaxPoint,"Senior Data Scientist. Mentor other data scientists in algorithms, models, tools, and products that make the team more efficient....","Austin, TX",,Senior Data Scientist,,,
148,    Sense Corp,Data analyst/data scientist role:. Perform data analysis and work with large volumes of data. Compile data from several different sources and determine...,"Austin, TX",,Data Scientist,,,
149,    Indeed,How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....,"Austin, TX",,Data Scientist,,,
150,    Indeed,How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....,"Austin, TX",,Data Scientist,,,
151,    Indeed,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,"Austin, TX",,Data Engineer,,,
152,    MaxPoint,"Senior Data Scientist. Mentor other data scientists in algorithms, models, tools, and products that make the team more efficient....","Austin, TX",,Senior Data Scientist,,,
153,    IBM,"
Creating and maintaining machine learning models with a focus on big data. Watson mirrors the same cognitive processes as humans with the ability to ingest...","Austin, TX",,Blue Spark - Watson Cognitive Software Engineer,,,
154,    IBM,"
Automatically find and interpret data rich sources, merge data together, ensure data consistency, and provide insights as a service....","Austin, TX",,Data Engineer / Data Scientist,,,
155,"    Samsung Austin Semiconductor, LLC","
Data Engineer position in the Data Science group which supports analysis activity in fully automated semiconductor manufacturing facility....","Austin, TX 78754",,Data Scientist,,,
156,    Samsung,"
Data Engineer position in the Data Science group which supports analysis activity in fully automated semiconductor manufacturing facility....","Austin, TX 78754",,Data Scientist,,,
157,    Amazon Corporate LLC,"
Strong grasp of data structures and algorithms. This person will work closely with software engineers, data engineers, and other Amazon research scientists to...","Austin, TX 78728",,Machine Learning Scientist,,,
158,    Dell,"
Data Scientist - Round Rock, TX. Strong familiarity and experience with data preparation and processing such as assessment of data quality, new variable...","Round Rock, TX 78664",,Data Scientist Round Rock TX,,,
159,    HomeAway,"
If so, then HomeAway has a Data Scientist role for you…. Really love data? Do you love data? These connections generate rich, diverse, and varied data:....","Austin, TX 78704 (South Lamar-South Congress area)",,Research Data Scientist,,,
160,    Intersys:Big Data And Application Development,"
Jr Data Scientist*. Jr Data Scientist Job Description*. The junior data scientist will contribute to the production of the eCommerce platform which combines a...","Austin, TX",,Jr Data Scientist,,,
161,    21CT,"
Deep learning, data mining, data fusion, machine learning, statistical analysis, natural language processing....","Austin, TX",,Research Scientist,,,
162,    Gallup,"
Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Austin, TX",,Data Scientist – Predictive Analytics,,,
163,    Sense Corp,Data analyst/data scientist role:. Perform data analysis and work with large volumes of data. Compile data from several different sources and determine...,"Austin, TX",,Data Scientist,,,
