"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Mohave County, AZ"	"04015"	39288	2981741	1317.61947	1304.59032	1330.64862
	"Navajo County, AZ"	"04017"	13095	1665141	786.41989	772.95019	799.88959
	"Pima County, AZ"	"04019"	128615	14917184	862.19356	857.48146	866.90567
	"Pinal County, AZ"	"04021"	31849	4601058	692.21036	684.60803	699.81268
	"Santa Cruz County, AZ"	"04023"	3974	699253	568.32077	550.65080	585.99073
	"Yavapai County, AZ"	"04025"	37061	3150567	1176.32794	1164.35155	1188.30433
	"Yuma County, AZ"	"04027"	19568	2920817	669.94954	660.56258	679.33650
	"Arkansas County, AR"	"05001"	4128	314363	1313.13163	1273.07315	1353.19012
	"Ashley County, AR"	"05003"	4165	361532	1152.04187	1117.05405	1187.02968
	"Baxter County, AR"	"05005"	10484	642725	1631.17974	1599.95532	1662.40416
	"Benton County, AR"	"05007"	22663	3151175	719.19205	709.82846	728.55563
	"Boone County, AR"	"05009"	6420	573542	1119.36005	1091.97848	1146.74162
	"Bradley County, AR"	"05011"	2573	189747	1356.01617	1303.61982	1408.41252
	"Calhoun County, AR"	"05013"	984	88237	1115.17844	1045.49928	1184.85760
	"Carroll County, AR"	"05015"	4396	425708	1032.63270	1002.10647	1063.15892
	"Chicot County, AR"	"05017"	2686	200502	1339.63751	1288.97457	1390.30045
	"Clark County, AR"	"05019"	4008	369165	1085.69339	1052.08100	1119.30578
	"Clay County, AR"	"05021"	3798	263849	1439.45969	1393.67945	1485.23993
	"Cleburne County, AR"	"05023"	5233	402901	1298.83023	1263.63911	1334.02135
	"Cleveland County, AR"	"05025"	1491	138907	1073.38003	1018.89581	1127.86425
	"Columbia County, AR"	"05027"	4886	398079	1227.39456	1192.97831	1261.81081
	"Conway County, AR"	"05029"	3820	333187	1146.50331	1110.14534	1182.86129
	"Craighead County, AR"	"05031"	13179	1457655	904.12340	888.68713	919.55968
	"Crawford County, AR"	"05033"	8636	936740	921.92070	902.47636	941.36505
	"Crittenden County, AR"	"05035"	8006	806867	992.23292	970.49781	1013.96803
	"Cross County, AR"	"05037"	3444	295141	1166.89989	1127.92740	1205.87237
	"Dallas County, AR"	"05039"	1895	135559	1397.91530	1334.97449	1460.85611
	"Desha County, AR"	"05041"	2627	219759	1195.40042	1149.68745	1241.11339
	"Drew County, AR"	"05043"	2942	297568	988.68158	952.95502	1024.40814
	"Faulkner County, AR"	"05045"	11734	1655600	708.74607	695.92207	721.57008
	"Franklin County, AR"	"05047"	3370	287995	1170.15920	1130.65111	1209.66730
	"Fulton County, AR"	"05049"	2610	192985	1352.43672	1300.55041	1404.32303
	"Garland County, AR"	"05051"	20640	1492422	1382.98685	1364.11914	1401.85456
	"Grant County, AR"	"05053"	2744	277406	989.16390	952.15277	1026.17502
	"Greene County, AR"	"05055"	6855	646784	1059.85924	1034.76925	1084.94923
	"Hempstead County, AR"	"05057"	4006	366063	1094.34715	1060.45839	1128.23591
	"Hot Spring County, AR"	"05059"	5654	511936	1104.43493	1075.64648	1133.22338
	"Howard County, AR"	"05061"	2749	222560	1235.17254	1188.99866	1281.34641
	"Independence County, AR"	"05063"	6278	569589	1102.19825	1074.93327	1129.46323
	"Izard County, AR"	"05065"	3037	215397	1409.95464	1359.80835	1460.10093
	"Jackson County, AR"	"05067"	3790	288173	1315.18220	1273.31033	1357.05407
	"Jefferson County, AR"	"05069"	13740	1267518	1084.00827	1065.88255	1102.13400
	"Johnson County, AR"	"05071"	3987	392666	1015.36675	983.84895	1046.88455
	"Lafayette County, AR"	"05073"	1749	126410	1383.59307	1318.74911	1448.43703
	"Lawrence County, AR"	"05075"	3696	278525	1326.99040	1284.20871	1369.77208
	"Lee County, AR"	"05077"	2137	178397	1197.89010	1147.10097	1248.67923
	"Lincoln County, AR"	"05079"	2061	228737	901.03481	862.13400	939.93562
	"Little River County, AR"	"05081"	2560	210520	1216.03648	1168.92978	1263.14318
	"Logan County, AR"	"05083"	4404	358839	1227.29135	1191.04368	1263.53902
	"Lonoke County, AR"	"05085"	8440	999428	844.48304	826.46632	862.49977
	"Madison County, AR"	"05087"	2496	240353	1038.47258	997.73185	1079.21331
	"Marion County, AR"	"05089"	3299	263224	1253.30517	1210.53689	1296.07345
	"Miller County, AR"	"05091"	6605	677086	975.50385	951.97782	999.02988
	"Mississippi County, AR"	"05093"	8696	763452	1139.03690	1115.09635	1162.97745
	"Monroe County, AR"	"05095"	2019	142007	1421.76090	1359.74337	1483.77843
	"Montgomery County, AR"	"05097"	1887	149182	1264.89791	1207.82558	1321.97024
	"Nevada County, AR"	"05099"	1906	149282	1276.77818	1219.45766	1334.09869
	"Newton County, AR"	"05101"	1468	134018	1095.37525	1039.34069	1151.40981
	"Ouachita County, AR"	"05103"	5934	427618	1387.68714	1352.37908	1422.99520
	"Perry County, AR"	"05105"	1886	165540	1139.30168	1087.88264	1190.72072
	"Phillips County, AR"	"05107"	4898	371508	1318.41037	1281.48734	1355.33340
	"Pike County, AR"	"05109"	2226	179935	1237.11340	1185.72052	1288.50629
	"Poinsett County, AR"	"05111"	5194	397867	1305.46137	1269.95804	1340.96471
	"Polk County, AR"	"05113"	4165	325343	1280.18737	1241.30774	1319.06700
	"Pope County, AR"	"05115"	8492	941953	901.53118	882.35634	920.70602
	"Prairie County, AR"	"05117"	1813	143469	1263.68763	1205.51792	1321.85734
	"Pulaski County, AR"	"05119"	53908	5992775	899.54987	891.95615	907.14360
	"Randolph County, AR"	"05121"	3549	288395	1230.60386	1190.11632	1271.09140
	"St. Francis County, AR"	"05123"	4831	455072	1061.59025	1031.65421	1091.52630
	"Saline County, AR"	"05125"	13447	1574521	854.03751	839.60240	868.47263
	"Scott County, AR"	"05127"	1984	176645	1123.15661	1073.73402	1172.57921
	"Searcy County, AR"	"05129"	1718	130100	1320.52267	1258.07873	1382.96662
	"Sebastian County, AR"	"05131"	18699	1944989	961.39361	947.61365	975.17358
	"Sevier County, AR"	"05133"	2594	263307	985.16181	947.24964	1023.07398
	"Sharp County, AR"	"05135"	4081	276219	1477.45086	1432.12085	1522.78087
	"Stone County, AR"	"05137"	2422	193299	1252.98113	1203.07964	1302.88263
	"Union County, AR"	"05139"	8943	686361	1302.95865	1275.95359	1329.96370
	"Van Buren County, AR"	"05141"	3611	269100	1341.88034	1298.11240	1385.64828
	"Washington County, AR"	"05143"	20409	3015448	676.81485	667.52915	686.10056
	"White County, AR"	"05145"	11907	1169984	1017.70623	999.42618	1035.98627
	"Woodruff County, AR"	"05147"	1874	124974	1499.51190	1431.61949	1567.40430
	"Yell County, AR"	"05149"	3926	345051	1137.80282	1102.21118	1173.39445
	"Alameda County, CA"	"06001"	150860	23804498	633.74577	630.54773	636.94382
	"Alpine County, CA"	"06003"	125	19191	651.34699	537.16082	765.53315
	"Amador County, CA"	"06005"	6455	594630	1085.54900	1059.06659	1112.03140
	"Butte County, CA"	"06007"	35498	3440304	1031.82742	1021.09343	1042.56141
	"Calaveras County, CA"	"06009"	6933	706807	980.89012	957.80055	1003.97968
	"Colusa County, CA"	"06011"	2223	327498	678.78277	650.56536	707.00018
	"Contra Costa County, CA"	"06013"	111174	16287063	682.59084	678.57834	686.60334
	"Del Norte County, CA"	"06015"	4327	448017	965.81157	937.03394	994.58920
	"El Dorado County, CA"	"06017"	20419	2773416	736.24007	726.14154	746.33861
	"Fresno County, CA"	"06019"	95497	14165691	674.14290	669.86714	678.41866
	"Glenn County, CA"	"06021"	3786	439100	862.21817	834.75296	889.68338
	"Humboldt County, CA"	"06023"	19962	2105455	948.10860	934.95599	961.26122
	"Imperial County, CA"	"06025"	14913	2579354	578.16802	568.88846	587.44759
	"Inyo County, CA"	"06027"	3346	294127	1137.60382	1099.05740	1176.15025
	"Kern County, CA"	"06029"	84204	12421468	677.89089	673.31211	682.46967
	"Kings County, CA"	"06031"	12371	2314031	534.60822	525.18739	544.02906
	"Lake County, CA"	"06033"	12589	1004777	1252.91483	1231.02804	1274.80161
	"Lassen County, CA"	"06035"	3576	544786	656.40453	634.89015	677.91892
	"Los Angeles County, CA"	"06037"	946431	156400440	605.13321	603.91404	606.35237
	"Madera County, CA"	"06039"	15263	2259326	675.55545	664.83786	686.27304
	"Marin County, CA"	"06041"	29244	3993390	732.31014	723.91684	740.70344
	"Mariposa County, CA"	"06043"	2756	284954	967.17365	931.06420	1003.28310
	"Mendocino County, CA"	"06045"	13184	1397775	943.21332	927.11271	959.31393
	"Merced County, CA"	"06047"	23632	3877219	609.50903	601.73787	617.28019
	"Modoc County, CA"	"06049"	1705	151380	1126.30466	1072.84210	1179.76723
	"Mono County, CA"	"06051"	745	218477	340.99699	316.51039	365.48359
	"Monterey County, CA"	"06053"	37656	6582062	572.10035	566.32191	577.87880
	"Napa County, CA"	"06055"	19508	2122779	918.98403	906.08795	931.88011
	"Nevada County, CA"	"06057"	14779	1545557	956.22484	940.80807	971.64162
	"Orange County, CA"	"06059"	277052	47491713	583.36914	581.19685	585.54144
	"Placer County, CA"	"06061"	39083	5074768	770.14358	762.50815	777.77902
	"Plumas County, CA"	"06063"	3560	325042	1095.24308	1059.26470	1131.22145
	"Riverside County, CA"	"06065"	220411	31580875	697.92556	695.01184	700.83929
	"Sacramento County, CA"	"06067"	158158	21838707	724.20954	720.64031	727.77877
	"San Benito County, CA"	"06069"	4375	880086	497.11051	482.37992	511.84109
	"San Bernardino County, CA"	"06071"	192838	31007547	621.90666	619.13088	624.68244
	"San Diego County, CA"	"06073"	314829	48050015	655.21103	652.92228	657.49979
	"San Francisco County, CA"	"06075"	94927	12669770	749.24012	744.47381	754.00643
	"San Joaquin County, CA"	"06077"	74793	10427359	717.27654	712.13596	722.41712
	"San Luis Obispo County, CA"	"06079"	33929	4194544	808.88411	800.27701	817.49121
	"San Mateo County, CA"	"06081"	74340	11380641	653.21452	648.51882	657.91023
	"Santa Barbara County, CA"	"06083"	46460	6640698	699.62525	693.26342	705.98708
	"Santa Clara County, CA"	"06085"	143731	27808040	516.86850	514.19635	519.54065
	"Santa Cruz County, CA"	"06087"	26562	4132727	642.72332	634.99385	650.45279
	"Shasta County, CA"	"06089"	31197	2785140	1120.12323	1107.69339	1132.55306
	"Sierra County, CA"	"06091"	606	53208	1138.92648	1048.24566	1229.60730
	"Siskiyou County, CA"	"06093"	8468	709428	1193.63769	1168.21403	1219.06136
	"Solano County, CA"	"06095"	43982	6562923	670.15871	663.89551	676.42191
	"Sonoma County, CA"	"06097"	61202	7586116	806.76330	800.37156	813.15505
	"Stanislaus County, CA"	"06099"	58467	7952068	735.24271	729.28291	741.20250
	"Sutter County, CA"	"06101"	11326	1427532	793.39728	778.78532	808.00924
	"Tehama County, CA"	"06103"	9692	970189	998.98061	979.09191	1018.86931
	"Trinity County, CA"	"06105"	2397	214157	1119.27231	1074.46408	1164.08054
	"Tulare County, CA"	"06107"	43905	6639488	661.27087	655.08532	667.45642
	"Tuolumne County, CA"	"06109"	9655	886579	1089.01745	1067.29470	1110.74020
	"Ventura County, CA"	"06111"	79467	12815554	620.08244	615.77110	624.39378
	"Yolo County, CA"	"06113"	18416	3044156	604.96243	596.22493	613.69992
	"Yuba County, CA"	"06115"	8628	1084587	795.51018	778.72420	812.29616
	"Adams County, CO"	"08001"	37444	6624365	565.24663	559.52127	570.97199
	"Alamosa County, CO"	"08003"	1856	246135	754.05773	719.75161	788.36386
	"Arapahoe County, CO"	"08005"	49544	8706353	569.05572	564.04483	574.06662
	"Archuleta County, CO"	"08007"	1151	183821	626.15262	589.97844	662.32679
	"Baca County, CO"	"08009"	1003	64097	1564.81583	1467.97269	1661.65896
	"Bent County, CO"	"08011"	999	96279	1037.60945	973.26557	1101.95333
	"Boulder County, CO"	"08013"	24138	4698052	513.78742	507.30572	520.26912
	"Broomfield County, CO"	"08014"	3253	636358	511.19024	493.62328	528.75720
	"Chaffee County, CO"	"08015"	2473	277326	891.73031	856.58418	926.87644
	"Cheyenne County, CO"	"08017"	349	31571	1105.44487	989.46558	1221.42416
	"Clear Creek County, CO"	"08019"	770	146882	524.23033	487.20211	561.25856
	"Conejos County, CO"	"08021"	1215	132621	916.14450	864.62971	967.65929
	"Costilla County, CO"	"08023"	593	57402	1033.06505	949.91617	1116.21393
	"Crowley County, CO"	"08025"	685	90246	759.03641	702.19388	815.87894
	"Custer County, CO"	"08027"	466	63859	729.73269	663.47643	795.98895
	"Delta County, CO"	"08029"	5362	473755	1131.80864	1101.51400	1162.10327
	"Denver County, CO"	"08031"	70358	9331055	754.01978	748.44815	759.59140
	"Dolores County, CO"	"08033"	302	31140	969.81374	860.43298	1079.19450
	"Douglas County, CO"	"08035"	11812	4016945	294.05431	288.75131	299.35732
	"Eagle County, CO"	"08037"	1450	770807	188.11453	178.43188	197.79719
	"Elbert County, CO"	"08039"	1631	355802	458.40102	436.15386	480.64819
	"El Paso County, CO"	"08041"	55272	9371765	589.77151	584.85466	594.68836
	"Fremont County, CO"	"08043"	8031	747380	1074.55377	1051.05207	1098.05548
	"Garfield County, CO"	"08045"	4467	826398	540.53858	524.68692	556.39024
	"Gilpin County, CO"	"08047"	397	81328	488.14676	440.12797	536.16556
	"Grand County, CO"	"08049"	933	221282	421.63393	394.57873	448.68914
	"Gunnison County, CO"	"08051"	1007	237142	424.64009	398.41226	450.86792
	"Hinsdale County, CO"	"08053"	55	12965	424.21905	319.58118	552.18049
	"Huerfano County, CO"	"08055"	1590	113596	1399.69717	1330.89667	1468.49767
	"Jackson County, CO"	"08057"	182	23139	786.55084	672.27691	900.82478
	"Jefferson County, CO"	"08059"	57390	8513457	674.10924	668.59395	679.62453
	"Kiowa County, CO"	"08061"	317	23491	1349.45298	1200.89903	1498.00693
	"Kit Carson County, CO"	"08063"	1219	129754	939.47007	886.73043	992.20972
	"Lake County, CO"	"08065"	623	119499	521.34327	480.40441	562.28214
	"La Plata County, CO"	"08067"	4419	780565	566.12838	549.43636	582.82041
	"Larimer County, CO"	"08069"	26869	4550288	590.49010	583.42947	597.55072
	"Las Animas County, CO"	"08071"	2782	244507	1137.79974	1095.51892	1180.08055
	"Lincoln County, CO"	"08073"	850	90550	938.70790	875.60096	1001.81483
	"Logan County, CO"	"08075"	3185	350487	908.73556	877.17542	940.29570
	"Mesa County, CO"	"08077"	20246	2158452	937.98704	925.06642	950.90766
	"Mineral County, CO"	"08079"	91	12381	734.99717	591.77562	902.41483
	"Moffat County, CO"	"08081"	1516	212110	714.72349	678.74487	750.70211
	"Montezuma County, CO"	"08083"	4096	396959	1031.84460	1000.24436	1063.44484
	"Montrose County, CO"	"08085"	5836	609904	956.87190	932.32186	981.42194
	"Morgan County, CO"	"08087"	3921	444928	881.26618	853.68171	908.85066
	"Otero County, CO"	"08089"	3719	307660	1208.80192	1169.95129	1247.65256
	"Ouray County, CO"	"08091"	395	66609	593.01296	534.53103	651.49489
	"Park County, CO"	"08093"	1131	253840	445.55626	419.58892	471.52359
	"Phillips County, CO"	"08095"	817	70738	1154.96621	1075.76819	1234.16423
	"Pitkin County, CO"	"08097"	684	257198	265.94297	246.01255	285.87339
	"Prowers County, CO"	"08099"	2027	211124	960.09928	918.30226	1001.89630
	"Pueblo County, CO"	"08101"	24498	2444120	1002.32394	989.77235	1014.87554
	"Rio Blanco County, CO"	"08103"	771	101371	760.57255	706.88550	814.25960
	"Rio Grande County, CO"	"08105"	2001	192848	1037.60475	992.14108	1083.06841
	"Routt County, CO"	"08107"	1321	351692	375.61275	355.35716	395.86835
	"Saguache County, CO"	"08109"	681	98507	691.32143	639.39810	743.24476
	"San Juan County, CO"	"08111"	53	10280	515.56420	386.19368	674.36829
	"San Miguel County, CO"	"08113"	297	115241	257.72078	228.41000	287.03155
	"Sedgwick County, CO"	"08115"	609	40059	1520.25762	1399.51388	1641.00136
	"Summit County, CO"	"08117"	774	422054	183.38886	170.46897	196.30874
	"Teller County, CO"	"08119"	1898	356332	532.64933	508.68588	556.61278
	"Washington County, CO"	"08121"	799	77875	1026.00321	954.86034	1097.14608
	"Weld County, CO"	"08123"	21162	3679519	575.12952	567.38056	582.87848
	"Yuma County, CO"	"08125"	1634	158763	1029.20706	979.30335	1079.11076
	"Fairfield County, CT"	"09001"	107163	14502942	738.90525	734.48118	743.32933
	"Hartford County, CT"	"09003"	125562	14093750	890.90554	885.97768	895.83341
	"Litchfield County, CT"	"09005"	27095	2996451	904.23638	893.46941	915.00335
	"Middlesex County, CT"	"09007"	22035	2595106	849.09826	837.88692	860.30960
	"New Haven County, CT"	"09009"	122102	13573403	899.56807	894.52229	904.61386
	"New London County, CT"	"09011"	35840	4304893	832.54102	823.92160	841.16043
	"Tolland County, CT"	"09013"	14738	2354223	626.02396	615.91683	636.13109
	"Windham County, CT"	"09015"	15713	1840194	853.87736	840.52611	867.22862
	"Kent County, DE"	"10001"	20240	2389744	846.95264	835.28428	858.62101
	"New Castle County, DE"	"10003"	66855	8427157	793.32805	787.31434	799.34175
	"Sussex County, DE"	"10005"	31444	2927658	1074.03255	1062.16108	1085.90403
	"District of Columbia, DC"	"11001"	84248	9468259	889.79399	883.78550	895.80249
	"Alachua County, FL"	"12001"	26231	3802464	689.84217	681.49386	698.19047
	"Baker County, FL"	"12003"	3385	403374	839.17159	810.90148	867.44170
	"Bay County, FL"	"12005"	24832	2605382	953.10400	941.24930	964.95870
	"Bradford County, FL"	"12007"	4374	439847	994.43670	964.96577	1023.90763
	"Brevard County, FL"	"12009"	92396	8384999	1101.92023	1094.81497	1109.02548
	"Broward County, FL"	"12011"	242588	27718584	875.18179	871.69906	878.66452
	"Calhoun County, FL"	"12013"	2388	222768	1071.96725	1028.97200	1114.96249
	"Charlotte County, FL"	"12015"	35641	2497638	1426.98822	1412.17322	1441.80321
	"Citrus County, FL"	"12017"	35484	2130831	1665.26580	1647.93881	1682.59280
	"Clay County, FL"	"12019"	21069	2777188	758.64508	748.40100	768.88915
	"Collier County, FL"	"12021"	42573	4857679	876.40620	868.08101	884.73140
	"Columbia County, FL"	"12023"	11023	1015842	1085.10969	1064.85247	1105.36691
	"DeSoto County, FL"	"12027"	4650	541240	859.13828	834.44421	883.83234
	"Dixie County, FL"	"12029"	2974	245885	1209.50851	1166.03802	1252.97900
	"Duval County, FL"	"12031"	113732	13408423	848.21310	843.28341	853.14279
	"Escambia County, FL"	"12033"	47349	4784458	989.64188	980.72775	998.55600
	"Flagler County, FL"	"12035"	14209	1276243	1113.34597	1095.03951	1131.65243
	"Franklin County, FL"	"12037"	1915	176141	1087.19719	1038.50268	1135.89170
	"Gadsden County, FL"	"12039"	7272	730709	995.19781	972.32400	1018.07163
	"Gilchrist County, FL"	"12041"	2628	254512	1032.56428	993.08579	1072.04277
	"Glades County, FL"	"12043"	1667	194742	856.00435	814.91170	897.09701
	"Gulf County, FL"	"12045"	2555	245051	1042.64010	1002.21091	1083.06929
