"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Wrangell City and Borough, AK"	"02275"	"5-14 years"	"5-14"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Missing	Missing	Missing	Missing
	"Wrangell City and Borough, AK"	"02275"	"5-14 years"	"5-14"	"Female"	"F"	"Black or African American"	"2054-5"	Missing	Missing	Missing	Missing
	"Wrangell City and Borough, AK"	"02275"	"5-14 years"	"5-14"	"Female"	"F"	"White"	"2106-3"	Missing	Missing	Missing	Missing
"Total"	"Wrangell City and Borough, AK"	"02275"	"5-14 years"	"5-14"	"Female"	"F"			Missing	Missing	Missing	Missing
	"Wrangell City and Borough, AK"	"02275"	"5-14 years"	"5-14"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	Missing	Missing	Missing	Missing
	"Wrangell City and Borough, AK"	"02275"	"5-14 years"	"5-14"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Missing	Missing	Missing	Missing
	"Wrangell City and Borough, AK"	"02275"	"5-14 years"	"5-14"	"Male"	"M"	"Black or African American"	"2054-5"	Missing	Missing	Missing	Missing
	"Wrangell City and Borough, AK"	"02275"	"5-14 years"	"5-14"	"Male"	"M"	"White"	"2106-3"	Missing	Missing	Missing	Missing
"Total"	"Wrangell City and Borough, AK"	"02275"	"5-14 years"	"5-14"	"Male"	"M"			Missing	Missing	Missing	Missing
"Total"	"Wrangell City and Borough, AK"	"02275"	"5-14 years"	"5-14"					Missing	Missing	Missing	Missing
"Total"	"Wrangell City and Borough, AK"	"02275"							Missing	Missing	Missing	Missing
	"Clifton Forge city, VA"	"51560"	"5-14 years"	"5-14"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	Missing	Missing	Missing	Missing
	"Clifton Forge city, VA"	"51560"	"5-14 years"	"5-14"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Missing	Missing	Missing	Missing
	"Clifton Forge city, VA"	"51560"	"5-14 years"	"5-14"	"Female"	"F"	"Black or African American"	"2054-5"	Missing	Missing	Missing	Missing
	"Clifton Forge city, VA"	"51560"	"5-14 years"	"5-14"	"Female"	"F"	"White"	"2106-3"	Missing	Missing	Missing	Missing
"Total"	"Clifton Forge city, VA"	"51560"	"5-14 years"	"5-14"	"Female"	"F"			Missing	Missing	Missing	Missing
	"Clifton Forge city, VA"	"51560"	"5-14 years"	"5-14"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	Missing	Missing	Missing	Missing
	"Clifton Forge city, VA"	"51560"	"5-14 years"	"5-14"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Missing	Missing	Missing	Missing
	"Clifton Forge city, VA"	"51560"	"5-14 years"	"5-14"	"Male"	"M"	"Black or African American"	"2054-5"	Missing	Missing	Missing	Missing
	"Clifton Forge city, VA"	"51560"	"5-14 years"	"5-14"	"Male"	"M"	"White"	"2106-3"	Missing	Missing	Missing	Missing
"Total"	"Clifton Forge city, VA"	"51560"	"5-14 years"	"5-14"	"Male"	"M"			Missing	Missing	Missing	Missing
"Total"	"Clifton Forge city, VA"	"51560"	"5-14 years"	"5-14"					Missing	Missing	Missing	Missing
"Total"	"Clifton Forge city, VA"	"51560"							Missing	Missing	Missing	Missing
"Total"									346	244080362	0.1	100.0%
"---"
"Dataset: Underlying Cause of Death, 1999-2014"
"Query Parameters:"
"Title:"
"2013 Urbanization: All"
"Autopsy: All"
"Drug/Alcohol Induced Causes: Drug-Induced Causes"
"Gender: Female, Male"
"Hispanic Origin: Hispanic or Latino, Not Hispanic or Latino, Not Stated"
"Place of Death: All"
"Race: American Indian or Alaska Native, Asian or Pacific Islander, Black or African American, White"
"States: All"
"Ten-Year Age Groups: 5-14 years"
"Weekday: All"
"Year/Month: 2004, 2005, 2006, 2007, 2008, 2009"
"Group By: County, Ten-Year Age Groups, Gender, Race"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Aug 3, 2016 9:13:52 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death"
"1999-2014 on CDC WONDER Online Database, released 2015. Data are from the Multiple Cause of Death Files, 1999-2014, as compiled"
"from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/ucd-icd10.html on Aug 3, 2016 9:13:52 AM"
"---"
Messages:
"1. Rows with suppressed Deaths are hidden, but the Deaths and Population values in those rows are included in the totals. Use"
"Quick Options above to show suppressed rows."
"---"
Footnotes:
"1. Data are not available for this area for all of the requested years. See Caveats below for more information."
"2. Deaths for Allen Parish, Louisiana are under reported in years 2006 through 2008. See Caveats below for more information."
"---"
Caveats:
"1. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/ucd.html#Georgia-Reporting-Anomalies."
"2. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#New-Jersey-Reporting-Anomalies."
"3. Data for Prince of Wales-Hyder Census Area, AK (FIPS code 02198), Hoonah-Angoon Census Area, AK (FIPS code 02105), Skagway"
"Municipality, AK (FIPS code 02230), Petersburg Borough/Census Area, AK (FIPS code 02195) and Wrangell City and Borough, AK (FIPS"
"code 02275) are only available for 2014 and later; for computational purposes, counts and population estimates for 2013 and"
"earlier are set to zero. Thus, counts and rates shown in multi-year requests for this entity do not include any data for years"
"before 2014, only data for 2014 and later. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Alaska2014."
"4. Death rates for Clifton Forge city, Virginia (FIPS code 51560) are available only for 1999-2000. For 2001 and beyond, death"
"counts and population estimates for Clifton Forge city have been combined with those for Alleghany county, Virginia (FIPS code"
"51005). Death counts and population estimates for this entity from multi-year requests, only reflect data from 1999 and 2000;"
"for 2001 and beyond they have been set to zero. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Clifton Forge."
"5. Deaths for Allen Parish, Louisiana (FIPS code 22003] in years 2006 through 2008 are under reported due to problems with"
"registering the deaths with the Louisiana Vital Statistics Office."
"6. Deaths and population estimates are shown separately from the adjacent counties for Carson City, Nevada (FIPS code 32510)."
"7. Deaths and population estimates are reported separately for Baltimore City (FIPS code 24510) and Baltimore county (FIPS code"
"24005)."
"8. Deaths and population estimates are reported separately for St. Louis City (FIPS code 29510) and county (FIPS code 29189)."
"9. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality."
"10. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age"
"groups, so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated."
"11. Deaths of persons with Hispanic origin ""Not Stated"" are included in ""All"" counts and rates, but are not distributed"
"among Hispanic Origin groups, so are not included in the Hispanic Origin specific counts and rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated."
"12. Information included on the death certificate about the race and Hispanic ethnicity of the decedent is reported by the"
"funeral director as provided by an informant, often the surviving next of kin, or, in the absence of an informant, on the basis"
"of observation. Race and ethnicity information from the census is by self-report. To the extent that race and Hispanic origin"
"are inconsistent between these two data sources, death rates will be biased. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Racial Differences."
"13. The population figures for year 2014 are bridged-race estimates of the July 1 resident population, from the Vintage 2014"
"postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26, 2014. The population figures for"
"year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012 postcensal series released by NCHS"
"on June 13, 2013. The population figures for year 2011 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2011 postcensal series released by NCHS on July 18, 2012. Population figures for 2010 are April 1 Census counts. The"
"population figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident population, from the revised"
"intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population figures for 2000 are April 1 Census"
"counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1 estimates. Population figures for the"
"infant age groups are the number of live births. <br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ"
"slightly from previously published reports, due to use of the population estimates which were available at the time of release."
