,Notes,County,County Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Race,Race Code,Hispanic Origin,Hispanic Origin Code,Deaths,Population,Crude Rate,% of Total Deaths,year,pct_total_deaths,deaths,population,crude_100k,county_id,state,county_code,CTYNAME,pop_merge_ind
41,,"Maricopa County, AZ",4013.0,65-74 years,65-74,Male,M,White,2106-3,Hispanic or Latino,2135-2,14.0,16500.0,Unreliable,0.034%,2014,0.034,14.0,16500.0,84.8484848485,4013,AZ,04013,Maricopa County,Maricopa County_2014
42,,"Maricopa County, AZ",4013.0,65-74 years,65-74,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,65.0,124268.0,52.306,0.157%,2014,0.157,65.0,124268.0,52.3063057263,4013,AZ,04013,Maricopa County,Maricopa County_2014
43,,"Maricopa County, AZ",4013.0,75-84 years,75-84,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,24.0,65475.0,36.655,0.058%,2014,0.058,24.0,65475.0,36.6552119129,4013,AZ,04013,Maricopa County,Maricopa County_2014
44,,"Mohave County, AZ",4015.0,45-54 years,45-54,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,10.0,10365.0,Unreliable,0.024%,2014,0.024,10.0,10365.0,96.4785335263,4015,AZ,04015,Mohave County,Mohave County_2014
45,,"Mohave County, AZ",4015.0,45-54 years,45-54,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,16.0,10080.0,Unreliable,0.039%,2014,0.039,16.0,10080.0,158.73015873,4015,AZ,04015,Mohave County,Mohave County_2014
46,,"Mohave County, AZ",4015.0,55-64 years,55-64,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,10.0,14490.0,Unreliable,0.024%,2014,0.024,10.0,14490.0,69.0131124914,4015,AZ,04015,Mohave County,Mohave County_2014
47,,"Mohave County, AZ",4015.0,55-64 years,55-64,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,22.0,13412.0,164.032,0.053%,2014,0.053,22.0,13412.0,164.032209961,4015,AZ,04015,Mohave County,Mohave County_2014
48,,"Pima County, AZ",4019.0,25-34 years,25-34,Female,F,White,2106-3,Hispanic or Latino,2135-2,13.0,22916.0,Unreliable,0.031%,2014,0.031,13.0,22916.0,56.7289230232,4019,AZ,04019,Pima County,Pima County_2014
49,,"Pima County, AZ",4019.0,25-34 years,25-34,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,20.0,30394.0,65.802,0.048%,2014,0.048,20.0,30394.0,65.802461012,4019,AZ,04019,Pima County,Pima County_2014
50,,"Pima County, AZ",4019.0,35-44 years,35-44,Male,M,White,2106-3,Hispanic or Latino,2135-2,10.0,20650.0,Unreliable,0.024%,2014,0.024,10.0,20650.0,48.4261501211,4019,AZ,04019,Pima County,Pima County_2014
51,,"Pima County, AZ",4019.0,35-44 years,35-44,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,38.0,28044.0,135.501,0.092%,2014,0.092,38.0,28044.0,135.501355014,4019,AZ,04019,Pima County,Pima County_2014
52,,"Pima County, AZ",4019.0,45-54 years,45-54,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,27.0,34566.0,78.111,0.065%,2014,0.065,27.0,34566.0,78.1114389863,4019,AZ,04019,Pima County,Pima County_2014
53,,"Pima County, AZ",4019.0,45-54 years,45-54,Male,M,White,2106-3,Hispanic or Latino,2135-2,13.0,17054.0,Unreliable,0.031%,2014,0.031,13.0,17054.0,76.2284508033,4019,AZ,04019,Pima County,Pima County_2014
54,,"Pima County, AZ",4019.0,45-54 years,45-54,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,39.0,34512.0,113.004,0.094%,2014,0.094,39.0,34512.0,113.004172462,4019,AZ,04019,Pima County,Pima County_2014
55,,"Pima County, AZ",4019.0,55-64 years,55-64,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,38.0,45847.0,82.884,0.092%,2014,0.092,38.0,45847.0,82.8843762951,4019,AZ,04019,Pima County,Pima County_2014
56,,"Pima County, AZ",4019.0,55-64 years,55-64,Male,M,White,2106-3,Hispanic or Latino,2135-2,21.0,12918.0,162.564,0.051%,2014,0.051,21.0,12918.0,162.563864375,4019,AZ,04019,Pima County,Pima County_2014
57,,"Pima County, AZ",4019.0,55-64 years,55-64,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,41.0,41158.0,99.616,0.099%,2014,0.099,41.0,41158.0,99.6161135138,4019,AZ,04019,Pima County,Pima County_2014
58,,"Pima County, AZ",4019.0,65-74 years,65-74,Male,M,White,2106-3,Hispanic or Latino,2135-2,12.0,7190.0,Unreliable,0.029%,2014,0.029,12.0,7190.0,166.898470097,4019,AZ,04019,Pima County,Pima County_2014
59,,"Pima County, AZ",4019.0,65-74 years,65-74,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,27.0,36593.0,73.785,0.065%,2014,0.065,27.0,36593.0,73.7846036127,4019,AZ,04019,Pima County,Pima County_2014
60,,"Pinal County, AZ",4021.0,55-64 years,55-64,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,12.0,15725.0,Unreliable,0.029%,2014,0.029,12.0,15725.0,76.3116057234,4021,AZ,04021,Pinal County,Pinal County_2014
61,,"Yavapai County, AZ",4025.0,25-34 years,25-34,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,10.0,7267.0,Unreliable,0.024%,2014,0.024,10.0,7267.0,137.608366589,4025,AZ,04025,Yavapai County,Yavapai County_2014
62,,"Yavapai County, AZ",4025.0,35-44 years,35-44,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,11.0,7248.0,Unreliable,0.027%,2014,0.027,11.0,7248.0,151.766004415,4025,AZ,04025,Yavapai County,Yavapai County_2014
63,,"Yavapai County, AZ",4025.0,45-54 years,45-54,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,14.0,10457.0,Unreliable,0.034%,2014,0.034,14.0,10457.0,133.881610405,4025,AZ,04025,Yavapai County,Yavapai County_2014
64,,"Yavapai County, AZ",4025.0,55-64 years,55-64,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,10.0,18752.0,Unreliable,0.024%,2014,0.024,10.0,18752.0,53.3276450512,4025,AZ,04025,Yavapai County,Yavapai County_2014
65,,"Yavapai County, AZ",4025.0,55-64 years,55-64,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,25.0,15907.0,157.164,0.061%,2014,0.061,25.0,15907.0,157.163512919,4025,AZ,04025,Yavapai County,Yavapai County_2014
66,,"Benton County, AR",5007.0,45-54 years,45-54,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,10.0,12507.0,Unreliable,0.024%,2014,0.024,10.0,12507.0,79.955225074,5007,AR,05007,Benton County,Benton County_2014
67,,"Pulaski County, AR",5119.0,45-54 years,45-54,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,11.0,15159.0,Unreliable,0.027%,2014,0.027,11.0,15159.0,72.5641533083,5119,AR,05119,Pulaski County,Pulaski County_2014
68,,"Alameda County, CA",6001.0,25-34 years,25-34,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,11.0,42096.0,Unreliable,0.027%,2014,0.027,11.0,42096.0,26.1307487647,6001,CA,06001,Alameda County,Alameda County_2014
69,,"Alameda County, CA",6001.0,35-44 years,35-44,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,10.0,36045.0,Unreliable,0.024%,2014,0.024,10.0,36045.0,27.7430989041,6001,CA,06001,Alameda County,Alameda County_2014
70,,"Alameda County, CA",6001.0,35-44 years,35-44,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,14.0,37384.0,Unreliable,0.034%,2014,0.034,14.0,37384.0,37.4491761181,6001,CA,06001,Alameda County,Alameda County_2014
71,,"Alameda County, CA",6001.0,45-54 years,45-54,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,18.0,42025.0,Unreliable,0.044%,2014,0.044,18.0,42025.0,42.8316478287,6001,CA,06001,Alameda County,Alameda County_2014
72,,"Alameda County, CA",6001.0,45-54 years,45-54,Male,M,Black or African American,2054-5,Not Hispanic or Latino,2186-2,10.0,12854.0,Unreliable,0.024%,2014,0.024,10.0,12854.0,77.7967947721,6001,CA,06001,Alameda County,Alameda County_2014
73,,"Alameda County, CA",6001.0,45-54 years,45-54,Male,M,White,2106-3,Hispanic or Latino,2135-2,12.0,19621.0,Unreliable,0.029%,2014,0.029,12.0,19621.0,61.1589623363,6001,CA,06001,Alameda County,Alameda County_2014
74,,"Alameda County, CA",6001.0,45-54 years,45-54,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,23.0,43797.0,52.515,0.056%,2014,0.056,23.0,43797.0,52.5150124438,6001,CA,06001,Alameda County,Alameda County_2014
75,,"Alameda County, CA",6001.0,55-64 years,55-64,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,19.0,42944.0,Unreliable,0.046%,2014,0.046,19.0,42944.0,44.2436661699,6001,CA,06001,Alameda County,Alameda County_2014
76,,"Alameda County, CA",6001.0,55-64 years,55-64,Male,M,Black or African American,2054-5,Not Hispanic or Latino,2186-2,24.0,11749.0,204.273,0.058%,2014,0.058,24.0,11749.0,204.27270406,6001,CA,06001,Alameda County,Alameda County_2014
77,,"Alameda County, CA",6001.0,55-64 years,55-64,Male,M,White,2106-3,Hispanic or Latino,2135-2,15.0,11265.0,Unreliable,0.036%,2014,0.036,15.0,11265.0,133.155792277,6001,CA,06001,Alameda County,Alameda County_2014
78,,"Alameda County, CA",6001.0,55-64 years,55-64,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,34.0,42415.0,80.160,0.082%,2014,0.082,34.0,42415.0,80.1603206413,6001,CA,06001,Alameda County,Alameda County_2014
79,,"Alameda County, CA",6001.0,65-74 years,65-74,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,11.0,29574.0,Unreliable,0.027%,2014,0.027,11.0,29574.0,37.1948332995,6001,CA,06001,Alameda County,Alameda County_2014
80,,"Alameda County, CA",6001.0,65-74 years,65-74,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,13.0,26761.0,Unreliable,0.031%,2014,0.031,13.0,26761.0,48.5781547775,6001,CA,06001,Alameda County,Alameda County_2014
81,,"Butte County, CA",6007.0,35-44 years,35-44,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,10.0,8296.0,Unreliable,0.024%,2014,0.024,10.0,8296.0,120.540019286,6007,CA,06007,Butte County,Butte County_2014
82,,"Butte County, CA",6007.0,45-54 years,45-54,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,10.0,10448.0,Unreliable,0.024%,2014,0.024,10.0,10448.0,95.7120980092,6007,CA,06007,Butte County,Butte County_2014
83,,"Butte County, CA",6007.0,45-54 years,45-54,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,18.0,9843.0,Unreliable,0.044%,2014,0.044,18.0,9843.0,182.871075891,6007,CA,06007,Butte County,Butte County_2014
84,,"Butte County, CA",6007.0,55-64 years,55-64,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,21.0,13261.0,158.359,0.051%,2014,0.051,21.0,13261.0,158.359098107,6007,CA,06007,Butte County,Butte County_2014
85,,"Butte County, CA",6007.0,55-64 years,55-64,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,26.0,12126.0,214.415,0.063%,2014,0.063,26.0,12126.0,214.415305954,6007,CA,06007,Butte County,Butte County_2014
86,,"Contra Costa County, CA",6013.0,25-34 years,25-34,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,16.0,28086.0,Unreliable,0.039%,2014,0.039,16.0,28086.0,56.9678843552,6013,CA,06013,Contra Costa County,Contra Costa County_2014
87,,"Contra Costa County, CA",6013.0,45-54 years,45-54,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,15.0,43547.0,Unreliable,0.036%,2014,0.036,15.0,43547.0,34.4455415987,6013,CA,06013,Contra Costa County,Contra Costa County_2014
88,,"Contra Costa County, CA",6013.0,45-54 years,45-54,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,38.0,42791.0,88.804,0.092%,2014,0.092,38.0,42791.0,88.8037204085,6013,CA,06013,Contra Costa County,Contra Costa County_2014
89,,"Contra Costa County, CA",6013.0,55-64 years,55-64,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,17.0,43118.0,Unreliable,0.041%,2014,0.041,17.0,43118.0,39.4266895496,6013,CA,06013,Contra Costa County,Contra Costa County_2014
90,,"Contra Costa County, CA",6013.0,55-64 years,55-64,Male,M,Black or African American,2054-5,Not Hispanic or Latino,2186-2,10.0,5830.0,Unreliable,0.024%,2014,0.024,10.0,5830.0,171.526586621,6013,CA,06013,Contra Costa County,Contra Costa County_2014
91,,"Contra Costa County, CA",6013.0,55-64 years,55-64,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,18.0,41567.0,Unreliable,0.044%,2014,0.044,18.0,41567.0,43.3035821685,6013,CA,06013,Contra Costa County,Contra Costa County_2014
92,,"Contra Costa County, CA",6013.0,65-74 years,65-74,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,12.0,28118.0,Unreliable,0.029%,2014,0.029,12.0,28118.0,42.6772885696,6013,CA,06013,Contra Costa County,Contra Costa County_2014
93,,"El Dorado County, CA",6017.0,55-64 years,55-64,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,11.0,13710.0,Unreliable,0.027%,2014,0.027,11.0,13710.0,80.2334062728,6017,CA,06017,El Dorado County,El Dorado County_2014
94,,"El Dorado County, CA",6017.0,55-64 years,55-64,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,13.0,13464.0,Unreliable,0.031%,2014,0.031,13.0,13464.0,96.5537730244,6017,CA,06017,El Dorado County,El Dorado County_2014
95,,"Fresno County, CA",6019.0,35-44 years,35-44,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,12.0,16904.0,Unreliable,0.029%,2014,0.029,12.0,16904.0,70.9891150024,6019,CA,06019,Fresno County,Fresno County_2014
96,,"Fresno County, CA",6019.0,35-44 years,35-44,Male,M,White,2106-3,Hispanic or Latino,2135-2,11.0,29823.0,Unreliable,0.027%,2014,0.027,11.0,29823.0,36.8842839419,6019,CA,06019,Fresno County,Fresno County_2014
97,,"Fresno County, CA",6019.0,35-44 years,35-44,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,10.0,17303.0,Unreliable,0.024%,2014,0.024,10.0,17303.0,57.7934462232,6019,CA,06019,Fresno County,Fresno County_2014
98,,"Fresno County, CA",6019.0,45-54 years,45-54,Female,F,White,2106-3,Hispanic or Latino,2135-2,10.0,23717.0,Unreliable,0.024%,2014,0.024,10.0,23717.0,42.1638487161,6019,CA,06019,Fresno County,Fresno County_2014
99,,"Fresno County, CA",6019.0,45-54 years,45-54,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,17.0,21770.0,Unreliable,0.041%,2014,0.041,17.0,21770.0,78.0891134589,6019,CA,06019,Fresno County,Fresno County_2014
100,,"Fresno County, CA",6019.0,45-54 years,45-54,Male,M,White,2106-3,Hispanic or Latino,2135-2,20.0,24723.0,80.896,0.048%,2014,0.048,20.0,24723.0,80.8963313514,6019,CA,06019,Fresno County,Fresno County_2014
101,,"Fresno County, CA",6019.0,45-54 years,45-54,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,31.0,21021.0,147.472,0.075%,2014,0.075,31.0,21021.0,147.471576043,6019,CA,06019,Fresno County,Fresno County_2014
102,,"Fresno County, CA",6019.0,55-64 years,55-64,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,19.0,24259.0,Unreliable,0.046%,2014,0.046,19.0,24259.0,78.3214477101,6019,CA,06019,Fresno County,Fresno County_2014
103,,"Fresno County, CA",6019.0,55-64 years,55-64,Male,M,White,2106-3,Hispanic or Latino,2135-2,15.0,16734.0,Unreliable,0.036%,2014,0.036,15.0,16734.0,89.6378630333,6019,CA,06019,Fresno County,Fresno County_2014
104,,"Fresno County, CA",6019.0,55-64 years,55-64,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,43.0,22456.0,191.486,0.104%,2014,0.104,43.0,22456.0,191.485571785,6019,CA,06019,Fresno County,Fresno County_2014
105,,"Fresno County, CA",6019.0,65-74 years,65-74,Male,M,White,2106-3,Hispanic or Latino,2135-2,10.0,8281.0,Unreliable,0.024%,2014,0.024,10.0,8281.0,120.758362517,6019,CA,06019,Fresno County,Fresno County_2014
106,,"Humboldt County, CA",6023.0,45-54 years,45-54,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,24.0,6607.0,363.251,0.058%,2014,0.058,24.0,6607.0,363.251097321,6023,CA,06023,Humboldt County,Humboldt County_2014
107,,"Humboldt County, CA",6023.0,55-64 years,55-64,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,12.0,8888.0,Unreliable,0.029%,2014,0.029,12.0,8888.0,135.01350135,6023,CA,06023,Humboldt County,Humboldt County_2014
108,,"Humboldt County, CA",6023.0,55-64 years,55-64,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,11.0,8305.0,Unreliable,0.027%,2014,0.027,11.0,8305.0,132.450331126,6023,CA,06023,Humboldt County,Humboldt County_2014
